Spectrum Analyzer Data File
2015-04-29 15:35:17

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,4.5027664E-5,6.4816435E-5,1.8449183E-4
5.3833008,6.9310016E-4,9.843585E-4,0.0027849544
8.0749512,0.0032403274,0.0047688694,0.013743556
10.7666016,0.009311431,0.013915147,0.040479567
13.4582520,0.020324774,0.029764382,0.08445994
16.1499023,0.037460648,0.053158343,0.14694642
18.8415527,0.06055444,0.08929246,0.25148857
21.5332031,0.09128108,0.14102827,0.40748978
24.2248535,0.13187177,0.20009556,0.57524616
26.9165039,0.1762333,0.26294985,0.734395
29.6081543,0.23281157,0.3428032,0.95490366
32.2998047,0.2749854,0.44749105,1.243716
34.9914551,0.3665194,0.552245,1.5615603
37.6831055,0.5102775,0.6756318,1.7158333
40.3747559,0.51734126,0.78887194,2.0776207
43.0664062,0.62724376,0.951648,2.4893668
45.7580566,0.7413266,1.1132596,2.8631697
48.4497070,0.8650023,1.2868544,3.1966918
51.1413574,0.9322608,1.490225,3.6336963
53.8330078,0.94638306,1.6948138,4.12953
56.5246582,0.710751,1.9915665,3.4740512
59.2163086,3.9904666,3.564476,6.8494406
61.9079590,4.25468,3.556514,7.179675
64.5996094,4.9304085,4.6063743,8.545904
67.2912598,5.9074154,5.454977,8.991255
69.9829102,9.434396,8.304384,12.565107
72.6745605,20.815044,15.078914,23.75752
75.3662109,12.010316,48.10082,93.26916
78.0578613,8.506552,17.768028,38.590054
80.7495117,4.767623,8.647134,15.086844
83.4411621,9.009199,6.14298,10.539499
86.1328125,8.718006,9.487679,14.266778
88.8244629,15.4134245,9.0838,15.4134245
91.5161133,7.7799854,10.318961,29.902908
94.2077637,7.2766,6.1180387,14.336406
96.8994141,8.2953825,6.2098155,11.388484
99.5910645,16.535992,14.678126,44.600746
102.2827148,3.7959228,10.493409,31.487602
104.9743652,4.5043936,14.1254835,35.67868
107.6660156,9.345671,20.049427,63.250374
110.3576660,87.19938,58.57917,134.81981
113.0493164,40.69991,101.85939,331.30347
115.7409668,21.871353,44.785435,112.65783
118.4326172,22.021599,24.808756,58.84451
121.1242676,0.39268267,21.32216,64.88784
123.8159180,18.016249,47.011433,92.61289
126.5075684,14.29618,35.89229,71.312294
129.1992188,26.29972,28.338161,36.887314
131.8908691,18.411194,25.731915,69.0296
134.5825195,30.083277,50.31556,99.62208
137.2741699,46.877865,55.339233,79.37809
139.9658203,42.674923,65.004745,153.42918
142.6574707,119.029045,107.90408,139.80956
145.3491211,169.93234,169.30504,234.82166
148.0407715,722.756,412.51065,893.9425
150.7324219,203.44942,470.8062,1526.5237
153.4240723,235.96117,480.55774,1219.6786
156.1157227,77.35218,147.0591,268.35263
158.8073730,40.294212,110.10436,203.74426
161.4990234,64.453766,108.560974,284.3354
164.1906738,92.376465,84.40227,108.8582
166.8823242,14.391859,54.909912,103.33835
169.5739746,36.763283,54.549114,70.66883
172.2656250,54.99792,103.52277,291.5387
174.9572754,58.002346,69.77411,152.79497
177.6489258,94.83394,147.24019,246.077
180.3405762,236.328,128.8484,236.328
183.0322266,80.06928,202.19566,433.85648
185.7238770,957.86664,586.4352,1153.8517
188.4155273,289.81555,439.4686,1367.5819
191.1071777,51.617996,363.7922,813.3566
193.7988281,36.201744,174.47334,608.0036
196.4904785,105.10633,122.73008,183.23712
199.1821289,66.13487,128.4792,236.95985
201.8737793,81.3741,119.01455,230.86552
204.5654297,22.43335,74.17694,127.47279
207.2570801,47.951393,166.05347,389.89883
209.9487305,90.97304,55.88527,90.97304
212.6403809,68.583466,112.20138,276.9265
215.3320312,36.37561,115.64848,224.79216
218.0236816,143.29092,141.20998,264.63458
220.7153320,227.77632,152.05197,230.60432
223.4069824,265.6672,268.80283,436.8192
226.0986328,35.169758,278.36075,726.2219
228.7902832,91.161835,345.53445,668.3785
231.4819336,101.059975,143.66672,220.03978
234.1735840,98.86067,116.61514,302.84427
236.8652344,55.376743,102.813576,192.7346
239.5568848,104.79547,159.84534,361.12613
242.2485352,117.616356,160.78194,251.02881
244.9401855,70.053795,120.391815,264.90277
247.6318359,62.86163,95.35541,270.65347
250.3234863,73.864716,137.26514,177.06631
253.0151367,103.54405,158.25574,384.5309
255.7067871,101.27682,182.34164,332.44568
258.3984375,493.71823,236.81905,493.71823
261.0900879,284.67758,432.40543,1177.3074
263.7817383,110.62787,236.05624,574.16315
266.4733887,147.21887,386.55313,1131.9465
269.1650391,46.61181,279.2053,533.67413
271.8566895,51.163258,129.39624,166.10461
274.5483398,140.34946,288.74582,568.28253
277.2399902,225.93767,236.16496,472.69897
279.9316406,119.939476,214.1076,669.3746
282.6232910,97.39209,309.4998,763.31067
285.3149414,158.27121,223.51779,487.88916
288.0065918,175.33147,245.87943,680.02496
290.6982422,219.7142,175.11981,296.19485
293.3898926,58.487762,255.24342,530.5248
296.0815430,584.29987,467.47952,1008.92993
298.7731934,304.07693,768.53186,2650.1494
301.4648438,143.52094,292.5664,741.11163
304.1564941,150.91388,545.798,1339.5035
306.8481445,129.11916,508.55704,941.57935
309.5397949,13.801952,207.242,646.66626
312.2314453,139.49751,400.9545,978.8169
314.9230957,48.668304,381.94464,979.42114
317.6147461,210.61488,424.15247,958.47974
320.3063965,130.11565,321.55334,504.37912
322.9980469,53.71008,192.8715,483.39908
325.6896973,229.19196,336.18347,639.0437
328.3813477,139.17068,299.93637,613.02484
331.0729980,173.59439,300.24655,404.99026
333.7646484,435.89096,315.90585,435.89096
336.4562988,372.8091,285.83664,656.52277
339.1479492,27.302515,289.00238,606.4684
341.8395996,247.2729,438.5341,958.3245
344.5312500,273.96957,529.5391,1011.7932
347.2229004,180.66124,293.73264,600.11804
349.9145508,298.9489,222.51216,443.1008
352.6062012,258.303,266.5068,534.1659
355.2978516,367.68912,398.5485,683.56494
357.9895020,253.58612,246.54727,410.79477
360.6811523,137.42644,314.12064,499.14648
363.3728027,223.7584,176.15404,223.7584
366.0644531,232.8653,398.2503,1018.97424
368.7561035,599.254,373.18137,599.254
371.4477539,632.6064,628.4488,1791.8433
374.1394043,161.31808,746.46576,2639.4802
376.8310547,309.0932,340.56647,609.88696
379.5227051,220.39302,480.99213,1125.5133
382.2143555,472.35968,1018.35297,1783.8883
384.9060059,251.61095,521.2798,1432.66
387.5976562,437.80286,435.89618,967.91644
390.2893066,122.4995,354.10706,696.52264
392.9809570,210.1099,410.6487,952.40234
395.6726074,325.2443,416.14127,641.78326
398.3642578,377.94492,492.88828,1023.511
401.0559082,977.2014,517.39465,977.2014
403.7475586,301.50726,599.8319,1176.3081
406.4392090,290.70117,490.00604,1096.164
409.1308594,283.3451,600.3454,1690.5833
411.8225098,28.640574,289.4471,632.0468
414.5141602,352.75052,600.2336,1055.4574
417.2058105,343.04083,774.6789,2487.121
419.8974609,292.62332,734.9758,1084.0343
422.5891113,370.7325,296.5177,733.97626
425.2807617,383.16675,520.22,1464.0043
427.9724121,309.60712,296.32993,467.634
430.6640625,344.268,549.73334,1473.0461
433.3557129,271.66797,548.24384,1191.6228
436.0473633,197.57037,440.008,1071.7754
438.7390137,128.73016,277.60275,551.10034
441.4306641,332.076,481.04572,838.1212
444.1223145,270.40823,393.55127,947.7452
446.8139648,452.41748,479.60052,1015.521
449.5056152,424.95593,402.31213,803.4688
452.1972656,288.3811,663.6029,1296.513
454.8889160,175.38603,620.9155,1290.5022
457.5805664,61.69751,965.046,3120.524
460.2722168,145.42873,690.017,1249.5525
462.9638672,370.74713,653.5028,1680.7625
465.6555176,119.55928,382.96085,1069.4491
468.3471680,126.74338,355.9617,519.0363
471.0388184,90.75392,248.30275,596.8491
473.7304688,541.2772,485.42743,687.65424
476.4221191,163.67595,303.67862,676.2995
479.1137695,207.59558,303.6338,562.4272
481.8054199,930.7123,408.96744,930.7123
484.4970703,322.87167,581.3936,1388.2155
487.1887207,263.02863,683.7384,2230.7188
489.8803711,453.56924,560.6904,1371.2125
492.5720215,460.42792,492.68594,876.36847
495.2636719,483.98053,497.84085,1396.2231
497.9553223,446.54202,519.4453,970.5059
500.6469727,206.3169,426.6562,1322.8085
503.3386230,235.79378,446.10226,1136.333
506.0302734,145.68344,405.07687,733.39734
508.7219238,645.4168,465.39838,865.93353
511.4135742,579.92,435.71335,579.92
514.1052246,432.1459,308.51962,645.5322
516.7968750,270.38525,393.58032,1007.3417
519.4885254,1162.1953,619.6981,1162.1953
522.1801758,716.65796,730.46014,2188.7173
524.8718262,388.87372,1259.0867,4379.5913
527.5634766,223.48683,815.91547,2797.8147
530.2551270,191.34828,541.6204,1579.9731
532.9467773,443.86688,380.76715,979.8133
535.6384277,229.27992,666.91534,1137.0259
538.3300781,638.89,600.19666,1396.393
541.0217285,707.4155,462.6721,1028.3243
543.7133789,167.78975,257.99887,609.87646
546.4050293,259.994,297.17792,551.4007
549.0966797,201.0971,259.8006,388.5384
551.7883301,608.3347,427.88922,628.54236
554.4799805,837.2006,554.1788,1101.7897
557.1716309,1004.66583,546.71564,1004.66583
559.8632812,409.414,640.83844,1784.4989
562.5549316,268.82986,595.7434,2227.409
565.2465820,194.88573,481.5782,903.2414
567.9382324,273.30777,561.64294,1259.517
570.6298828,133.21289,391.93958,899.1316
573.3215332,191.26746,379.62628,983.1917
576.0131836,272.98804,159.48157,272.98804
578.7048340,109.38537,267.82382,407.4036
581.3964844,374.73972,300.3461,555.74426
584.0881348,636.38135,394.51947,813.42456
586.7797852,415.00317,327.8252,430.52307
589.4714355,598.561,360.19388,639.29175
592.1630859,311.8628,316.31763,553.126
594.8547363,577.6999,320.68832,577.6999
597.5463867,379.859,334.7004,640.40234
600.2380371,108.42521,472.57645,1297.5319
602.9296875,115.5065,336.61514,910.6994
605.6213379,77.60392,327.57053,498.97113
608.3129883,432.9266,342.92386,528.60034
611.0046387,107.850464,449.65247,1142.9457
613.6962891,229.89645,276.0241,514.3879
616.3879395,505.91333,410.36603,1165.5472
619.0795898,80.82774,346.89957,1089.5087
621.7712402,241.4678,379.93747,755.28595
624.4628906,284.06354,289.46664,689.3625
627.1545410,385.19434,264.84726,618.2063
629.8461914,856.8163,482.16684,856.8163
632.5378418,739.91547,462.38538,755.1171
