Spectrum Analyzer Data File
2015-04-29 15:38:00

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,9.698583E-5,1.3743143E-4,2.8717492E-4
5.3833008,0.0015327049,0.0021302658,0.004503017
8.0749512,0.0069434354,0.010103581,0.0219057
10.7666016,0.020345451,0.028853886,0.061913013
13.4582520,0.04391529,0.061163228,0.12567218
16.1499023,0.08093414,0.11104869,0.22304603
18.8415527,0.13387723,0.18386021,0.37501293
21.5332031,0.19428161,0.276539,0.5711088
24.2248535,0.2847076,0.39227983,0.8001805
26.9165039,0.3666196,0.5223801,1.0721081
29.6081543,0.5004745,0.6743495,1.361936
32.2998047,0.6057844,0.84297365,1.727138
34.9914551,0.7992672,1.0562687,2.1760187
37.6831055,0.91354656,1.4269112,3.0822287
40.3747559,1.1062999,1.6315062,3.3693583
43.0664062,1.3327594,1.9354422,4.063107
45.7580566,1.5400535,2.2173119,4.684318
48.4497070,1.8108902,2.495825,5.027417
51.1413574,2.0812676,2.8488657,5.5690675
53.8330078,2.4546778,2.9912245,5.817609
56.5246582,2.850477,3.7053008,8.615696
59.2163086,1.2000571,4.5769124,13.331209
61.9079590,3.5559921,6.2502565,9.607267
64.5996094,3.438872,5.7002177,10.109447
67.2912598,7.039771,8.055633,20.47331
69.9829102,4.707897,19.839725,53.970623
72.6745605,3.5756092,23.387293,78.27317
75.3662109,5.184039,31.666592,79.27713
78.0578613,10.505451,32.617474,65.961655
80.7495117,15.465977,35.095833,101.21861
83.4411621,9.714467,45.04384,138.52463
86.1328125,25.749054,32.32263,47.630276
88.8244629,22.228102,24.613417,35.81279
91.5161133,12.782734,38.544586,98.995026
94.2077637,26.971668,28.226223,42.48764
96.8994141,27.166494,57.750458,120.536285
99.5910645,19.229643,56.90009,165.65659
102.2827148,31.801744,66.84678,179.67409
104.9743652,34.61974,100.070755,343.99274
107.6660156,51.341526,88.83982,315.63263
110.3576660,114.718475,144.837,488.73532
113.0493164,215.98398,160.99081,505.8946
115.7409668,364.45102,158.06255,364.45102
118.4326172,156.63307,128.8998,269.26785
121.1242676,153.18709,94.98903,153.18709
123.8159180,100.51208,158.3391,286.69925
126.5075684,73.16961,95.74255,153.6101
129.1992188,50.14162,141.38852,284.97812
131.8908691,22.06873,98.58964,291.56375
134.5825195,74.695335,185.52003,601.85974
137.2741699,128.83719,284.34625,1077.3539
139.9658203,228.90453,348.87454,1342.5815
142.6574707,318.4718,354.26047,1158.3881
145.3491211,349.7781,300.15063,999.1778
148.0407715,365.59805,360.34647,1148.0754
150.7324219,108.18995,321.22748,1140.1571
153.4240723,56.096054,212.6618,603.51697
156.1157227,25.534166,165.61131,356.14822
158.8073730,64.059074,242.08374,538.351
161.4990234,66.387794,310.8787,715.416
164.1906738,58.115738,321.5994,629.8414
166.8823242,68.73581,511.70328,1541.3187
169.5739746,111.10349,295.47864,550.0663
172.2656250,102.13233,315.3512,901.9051
174.9572754,262.5429,226.23145,367.86905
177.6489258,102.67869,141.30307,188.3941
180.3405762,27.058813,165.91557,223.16336
183.0322266,101.0542,193.233,461.3016
185.7238770,14.127802,202.79462,594.62354
188.4155273,37.51639,199.74687,464.21603
191.1071777,70.71874,79.13157,126.28529
193.7988281,49.35071,184.47871,383.57324
196.4904785,89.07144,148.85886,255.1119
199.1821289,63.718166,180.53879,596.80023
201.8737793,55.75979,177.70361,568.9606
204.5654297,39.472046,218.52353,654.9173
207.2570801,267.76193,313.57278,492.07498
209.9487305,37.49779,380.87442,849.53217
212.6403809,156.42715,224.0271,494.2661
215.3320312,51.931316,202.69789,525.6099
218.0236816,33.348392,217.05772,606.6993
220.7153320,60.973743,127.28576,289.16766
223.4069824,74.44232,180.98665,431.96707
226.0986328,128.22661,134.79263,292.36777
228.7902832,124.63656,154.69626,297.21365
231.4819336,282.58438,144.46451,282.58438
234.1735840,543.4227,214.69502,543.4227
236.8652344,99.45744,203.23486,561.2112
239.5568848,58.903023,181.58253,405.3818
242.2485352,23.434435,176.24323,342.69168
244.9401855,36.177063,210.99016,406.84677
247.6318359,40.012516,367.33795,998.8508
250.3234863,154.2277,346.8667,671.4008
253.0151367,99.635925,238.10286,597.2835
255.7067871,36.535202,298.5579,497.72433
258.3984375,149.57683,249.76767,681.6147
261.0900879,124.492874,225.56625,553.1327
263.7817383,134.21455,166.16487,309.48587
266.4733887,232.56023,274.81277,400.8434
269.1650391,94.44283,205.96881,582.67456
271.8566895,182.52629,171.45766,462.96088
274.5483398,94.77378,200.9256,523.50366
277.2399902,65.06535,234.74124,514.9817
279.9316406,421.01288,247.29567,421.01288
282.6232910,254.20485,389.14914,1046.9392
285.3149414,252.29527,136.55576,294.54764
288.0065918,154.71425,331.83307,1050.8473
290.6982422,165.73618,389.59738,838.65015
293.3898926,172.1665,412.2868,850.1768
