Spectrum Analyzer Data File
2015-04-29 15:38:22

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,2.805533E-4,1.9324567E-4,2.805533E-4
5.3833008,0.0045283055,0.0027370877,0.0045283055
8.0749512,0.019833876,0.01863762,0.03832968
10.7666016,0.060133126,0.0661104,0.15743464
13.4582520,0.12401234,0.15067628,0.37653533
16.1499023,0.23545003,0.2247188,0.47669742
18.8415527,0.36113524,0.3645545,0.79269904
21.5332031,0.55098385,0.39393592,0.5669082
24.2248535,0.7523751,0.9182851,2.2760942
26.9165039,1.033033,1.1505835,2.7013478
29.6081543,1.2882049,1.0172129,1.6759642
32.2998047,1.6075957,1.4927539,2.8862364
34.9914551,1.7856648,1.5539567,2.653686
37.6831055,2.11732,2.9061887,7.2952046
40.3747559,2.5206988,3.9276457,10.705715
43.0664062,2.8858745,4.2794223,11.242391
45.7580566,3.3145573,2.7938955,4.390345
48.4497070,3.3233602,3.1054237,5.0681705
51.1413574,3.5045407,4.831074,11.168753
53.8330078,2.605794,5.6588187,14.865671
56.5246582,3.093188,8.323196,23.645168
59.2163086,3.8280237,7.660073,19.449047
61.9079590,1.5467674,10.6654005,30.621334
64.5996094,20.149258,18.900078,49.045124
67.2912598,39.74828,33.51812,65.302925
69.9829102,77.63475,39.255005,77.63475
72.6745605,33.837727,42.408894,112.67912
75.3662109,60.869385,71.80629,176.67375
78.0578613,79.9694,117.86394,276.30975
80.7495117,95.35168,96.94833,203.14598
83.4411621,62.161198,59.036743,90.498
86.1328125,178.73856,61.244156,178.73856
88.8244629,142.0972,81.08683,147.94095
91.5161133,84.48066,67.230255,118.41463
94.2077637,84.87357,133.59683,406.922
96.8994141,87.34762,142.9308,416.8793
99.5910645,156.69038,157.58597,383.91
102.2827148,69.38003,92.72027,249.33554
104.9743652,258.59164,247.84332,673.7153
107.6660156,242.69583,144.43657,287.4769
110.3576660,320.63782,187.64072,368.78833
113.0493164,255.12871,136.32397,255.12871
115.7409668,165.47911,245.798,749.15906
118.4326172,284.18497,214.83482,469.85947
121.1242676,221.05907,228.48808,585.75037
123.8159180,175.20953,227.15948,643.73834
126.5075684,496.3266,315.00238,705.91614
129.1992188,393.596,202.49995,393.596
131.8908691,232.27327,257.2808,624.0073
134.5825195,225.57883,198.86896,451.24487
137.2741699,484.9957,217.39326,484.9957
139.9658203,362.84167,191.47957,362.84167
142.6574707,177.6537,187.10783,383.23596
145.3491211,164.84209,370.69345,1243.026
148.0407715,399.2555,481.2811,1403.5645
150.7324219,276.9614,205.35011,346.01736
153.4240723,140.11539,395.9209,808.89777
156.1157227,437.70425,760.0733,1326.3567
158.8073730,369.22272,307.80838,558.56824
161.4990234,403.68652,305.4741,442.98105
164.1906738,478.32565,658.5523,2079.7961
166.8823242,548.75415,714.4199,1847.9355
169.5739746,510.28156,282.32272,510.28156
172.2656250,289.9547,189.08429,327.60736
174.9572754,238.04634,175.24391,286.38995
177.6489258,274.64752,451.73932,1398.143
180.3405762,445.08945,197.424,445.08945
183.0322266,282.9715,295.3863,709.71515
185.7238770,621.9365,502.52283,1221.2247
188.4155273,156.21829,257.39392,653.69055
191.1071777,796.3347,530.8759,1080.5166
193.7988281,332.47556,538.77747,1337.5114
196.4904785,810.50183,988.9112,2749.8909
199.1821289,866.20044,654.67505,1351.7415
201.8737793,696.8624,601.12115,1317.8375
204.5654297,244.4278,315.66962,587.492
207.2570801,182.60864,496.1833,1007.4916
209.9487305,336.43613,242.9343,432.55353
212.6403809,579.8141,354.1568,579.8141
215.3320312,417.4231,389.6737,833.3856
218.0236816,214.12086,454.35187,1380.6643
220.7153320,360.59723,260.0329,360.59723
223.4069824,525.494,248.99942,525.494
226.0986328,519.3136,325.60715,519.3136
228.7902832,346.58337,537.72015,1300.9596
231.4819336,644.3835,596.8613,1093.6095
234.1735840,706.38275,648.6043,980.29236
236.8652344,314.93073,728.8924,1939.0287
239.5568848,590.1513,842.8633,2280.0427
242.2485352,356.86954,596.54517,1846.974
244.9401855,511.4739,632.40204,1708.0796
247.6318359,189.87254,676.41614,2282.1165
250.3234863,770.97925,334.6223,770.97925
253.0151367,259.5556,705.49536,2070.0154
255.7067871,969.8937,634.5119,1240.2942
258.3984375,867.79224,705.1693,1556.6254
261.0900879,522.6444,951.5337,3013.1074
263.7817383,999.3241,959.1709,2695.4233
266.4733887,394.20547,284.70605,394.20547
269.1650391,416.62967,981.6944,2937.928
271.8566895,645.8868,648.4252,1108.9453
274.5483398,740.2138,462.7804,740.2138
277.2399902,540.94305,989.88165,2625.3164
279.9316406,1198.7742,891.50977,1913.5205
282.6232910,881.4559,680.2128,1512.7607
285.3149414,562.99896,728.306,2005.9316
288.0065918,569.2738,424.38553,772.04504
290.6982422,681.7553,725.45404,1750.2816
293.3898926,270.24243,511.50333,1285.8246
296.0815430,684.02313,916.3649,2619.2646
298.7731934,881.5098,447.1526,881.5098
301.4648438,290.49783,768.31274,2471.5845
304.1564941,753.6015,601.4022,1471.8362
306.8481445,655.18774,780.8595,1857.4182
309.5397949,860.83264,1206.7908,3213.0044
312.2314453,505.87286,1101.0764,2663.3972
314.9230957,768.67126,520.7163,891.5813
317.6147461,499.3993,871.85547,2220.715
320.3063965,492.8857,1159.031,3115.1965
322.9980469,377.38367,1104.9183,2879.547
325.6896973,534.91095,398.12277,534.91095
328.3813477,704.2292,1423.1924,3910.4417
331.0729980,755.17053,1414.7981,3755.9707
333.7646484,919.05225,422.82678,919.05225
336.4562988,257.17007,487.4039,1352.9435
339.1479492,836.5678,602.57916,1222.595
341.8395996,602.5028,491.94077,909.45636
344.5312500,720.02264,644.9923,992.30505
347.2229004,902.81586,704.5744,1544.1378
349.9145508,713.25525,861.30585,1322.4567
352.6062012,967.8412,1015.20154,2507.9026
355.2978516,864.05225,1281.6074,3056.5288
357.9895020,720.77515,401.61377,720.77515
360.6811523,1219.0155,1041.1368,2277.2097
363.3728027,809.8084,1249.981,3762.3662
366.0644531,1054.0736,1134.7029,2604.276
