Spectrum Analyzer Data File		
2015/4/29 15:27		
		
Frequency (Hz)	Average Amplitude	Max Amplitude
0	0	0
2.6916504	1.07E-04	1.23E-04
5.3833008	0.001367558	0.00179791
8.0749512	0.006909835	0.008538899
10.7666016	0.023332976	0.028963922
13.458252	0.038512167	0.053283915
16.1499023	0.07731112	0.09719237
18.8415527	0.13168924	0.15925252
21.5332031	0.18593474	0.23774636
24.2248535	0.3292659	0.42321092
26.9165039	0.29500738	0.45630032
29.6081543	0.40535343	0.5888206
32.2998047	0.6451299	0.74611247
34.9914551	0.6292018	0.9480241
37.6831055	0.75505686	1.1111363
40.3747559	1.1107414	1.2967168
43.0664062	1.2401773	1.6006362
45.7580566	1.7949038	2.3891838
48.449707	1.8023238	2.0983133
51.1413574	1.8304656	2.3718972
53.8330078	2.7485244	3.9888139
56.5246582	1.9913846	2.4148476
59.2163086	4.215452	4.9139853
61.907959	4.2270846	5.914577
64.5996094	4.3618703	6.493219
67.2912598	7.66139	12.325533
69.9829102	12.222719	21.230589
72.6745605	17.600916	37.505188
75.3662109	34.234783	88.07567
78.0578613	27.965845	70.17872
80.7495117	24.65631	51.6453
83.4411621	39.28672	73.72876
86.1328125	82.60442	121.58825
88.8244629	92.45355	173.87106
91.5161133	32.662235	62.925068
94.2077637	36.878895	64.28744
96.8994141	37.517315	92.53359
99.5910645	23.637812	53.280888
102.2827148	41.790867	75.16372
104.9743652	65.70552	176.63506
107.6660156	94.378494	235.44984
110.357666	167.72568	452.2267
113.0493164	192.29536	478.35876
115.7409668	249.91313	584.0235
118.4326172	365.80246	637.29047
121.1242676	301.48917	539.5663
123.815918	249.31203	440.36563
126.5075684	99.933975	146.97879
129.1992188	185.03134	275.52548
131.8908691	183.47276	380.85602
134.5825195	84.27682	133.52216
137.2741699	79.46466	138.10822
139.9658203	115.08869	241.329
142.6574707	237.45741	577.56573
145.3491211	329.43277	775.0247
148.0407715	558.6204	1239.9755
150.7324219	346.8711	760.5043
