Spectrum Analyzer Data File
2015-04-29 15:34:32

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,1.5968573E-4,8.714871E-5,1.5968573E-4
5.3833008,0.0024355885,0.0013299388,0.0024355885
8.0749512,0.011407378,0.0062218453,0.011407378
10.7666016,0.032774433,0.017901536,0.032774433
13.4582520,0.07184865,0.039384067,0.07184865
16.1499023,0.13295414,0.07250155,0.13295414
18.8415527,0.21834089,0.11866208,0.21834089
21.5332031,0.32875663,0.17960997,0.32875663
24.2248535,0.46787775,0.25421843,0.46787775
26.9165039,0.63078237,0.34240064,0.63078237
29.6081543,0.83358747,0.44706652,0.83358747
32.2998047,1.0471332,0.5466038,1.0471332
34.9914551,1.3213506,0.70018727,1.3213506
37.6831055,1.7810502,0.8799707,1.7810502
40.3747559,2.0005302,1.0946566,2.0005302
43.0664062,2.5103364,1.302656,2.5103364
45.7580566,2.904658,1.5018944,2.904658
48.4497070,3.436956,1.7569766,3.436956
51.1413574,4.0462027,2.0627062,4.0462027
53.8330078,4.5301485,2.3271914,4.5301485
56.5246582,5.674066,3.031786,5.674066
59.2163086,5.849009,3.445222,5.849009
61.9079590,5.166576,3.1066833,5.1723204
64.5996094,11.353536,4.8139067,11.353536
67.2912598,16.486881,7.403986,16.486881
69.9829102,16.681189,7.910956,16.681189
72.6745605,31.571722,15.119675,31.571722
75.3662109,58.44474,27.167397,58.44474
78.0578613,13.642909,46.045105,151.66379
80.7495117,13.641846,35.677116,52.107105
83.4411621,26.404419,18.498306,26.404419
86.1328125,10.023436,16.237541,31.085936
88.8244629,20.41582,13.953669,20.41582
91.5161133,46.56998,19.841446,46.56998
94.2077637,34.353436,15.655687,34.353436
96.8994141,33.39718,24.554329,38.55863
99.5910645,28.85277,11.551498,28.85277
102.2827148,18.581501,18.618324,26.031363
104.9743652,138.00362,47.01128,138.00362
107.6660156,135.29759,41.29738,135.29759
110.3576660,194.33179,64.24715,194.33179
113.0493164,111.55502,46.59801,111.55502
115.7409668,39.632103,33.4843,46.59014
118.4326172,38.141354,71.7998,229.55609
121.1242676,31.817255,34.86837,61.224403
123.8159180,90.74523,45.994095,90.74523
126.5075684,7.72827,24.327509,51.465675
129.1992188,132.12544,49.224064,132.12544
131.8908691,141.92522,62.030025,141.92522
134.5825195,156.27586,61.228184,156.27586
137.2741699,62.947056,53.48444,78.93124
139.9658203,215.01201,82.37898,215.01201
142.6574707,252.14674,139.53598,252.14674
145.3491211,272.75812,103.84078,272.75812
148.0407715,411.88385,146.48035,411.88385
150.7324219,1547.7786,442.45557,1547.7786
153.4240723,409.75974,259.15988,443.59338
156.1157227,233.39789,593.7704,1978.336
158.8073730,48.847027,311.3883,485.57828
161.4990234,201.40913,389.1088,709.9924
164.1906738,93.02328,198.2153,449.0879
166.8823242,185.43958,145.28488,185.43958
169.5739746,106.3751,80.23486,106.3751
