Spectrum Analyzer Data File
2015-04-29 15:38:49

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,2.9120279E-6,1.237095E-4,1.8160237E-4
5.3833008,6.0515027E-5,0.0019073765,0.0027680828
8.0749512,4.401624E-4,0.008742746,0.01288595
10.7666016,0.0017327103,0.025461162,0.036989264
13.4582520,0.004572814,0.054954253,0.08058526
16.1499023,0.008996664,0.10129877,0.1480056
18.8415527,0.017952226,0.16801657,0.24083471
21.5332031,0.035176855,0.2590908,0.3867283
24.2248535,0.05189738,0.35959318,0.536898
26.9165039,0.06731311,0.46478185,0.6645653
29.6081543,0.12482827,0.57636625,0.8601905
32.2998047,0.14521365,0.8043857,1.1765469
34.9914551,0.20634754,1.0143062,1.538484
37.6831055,0.30903736,1.1636028,1.7251189
40.3747559,0.34403396,1.3840479,2.1426437
43.0664062,0.48744974,1.5973976,2.3579962
45.7580566,0.57443726,1.8026192,2.6992989
48.4497070,0.7303722,2.0969217,3.3485458
51.1413574,0.95502794,2.390934,3.6426976
53.8330078,1.5085888,2.4744768,4.427952
56.5246582,1.0984285,3.272273,4.841793
59.2163086,2.369997,5.2700577,8.334718
61.9079590,5.3670506,9.090032,12.60011
64.5996094,6.4048085,10.492519,26.561197
67.2912598,1.941358,19.386938,34.712944
69.9829102,6.8572736,17.378637,34.937077
72.6745605,10.74644,31.129816,51.352203
75.3662109,7.531105,45.776028,89.33675
78.0578613,44.276665,90.823715,184.3282
80.7495117,25.276674,76.06171,180.21542
83.4411621,7.1570334,61.26364,122.16418
86.1328125,9.306555,68.80712,116.81365
88.8244629,25.232777,65.80468,82.07325
91.5161133,32.874638,57.211815,88.34974
94.2077637,22.401007,107.73591,231.16371
96.8994141,31.642647,120.55479,262.07303
99.5910645,83.6874,124.03246,213.24951
102.2827148,193.64183,199.73534,405.65604
104.9743652,319.17236,206.59082,319.17236
107.6660156,215.03868,150.17282,215.03868
110.3576660,118.58901,137.32498,350.02664
113.0493164,61.70098,155.76007,293.86505
115.7409668,68.23323,95.54709,185.34848
118.4326172,51.115265,227.03407,336.08075
121.1242676,10.085663,159.77246,297.5031
123.8159180,100.91363,347.11765,691.35065
126.5075684,143.21066,382.9129,921.08295
129.1992188,381.64767,393.33167,713.2835
131.8908691,158.19882,479.31165,1183.8016
134.5825195,85.45804,344.72864,1060.7574
137.2741699,45.01866,254.17581,705.1091
139.9658203,63.288284,269.8203,499.6705
142.6574707,65.23776,169.29404,246.2969
145.3491211,64.731544,255.64708,678.4742
148.0407715,36.466206,242.05515,536.30835
150.7324219,137.93404,323.36694,558.11694
153.4240723,75.15533,457.96942,1017.22266
156.1157227,49.20672,684.6151,2208.7983
158.8073730,38.677704,305.30515,565.2522
161.4990234,18.747906,220.56583,421.05063
164.1906738,95.536064,271.10052,514.57056
166.8823242,23.243666,291.11176,713.6626
169.5739746,62.514915,314.50223,568.6308
172.2656250,37.980484,246.21426,333.9002
174.9572754,86.76174,171.8289,298.06378
177.6489258,74.509834,391.58237,946.8985
180.3405762,56.776413,165.55238,327.05957
183.0322266,86.19979,358.23834,1162.087
185.7238770,79.88093,279.9742,655.7191
188.4155273,105.74549,241.65085,301.6868
191.1071777,26.48167,226.61826,532.95374
193.7988281,61.96814,311.11868,556.4855
196.4904785,26.871096,398.41315,802.04565
199.1821289,41.134293,344.9796,721.67865
201.8737793,8.082144,273.8539,614.36383
204.5654297,40.353065,432.58282,1440.5546
207.2570801,9.836258,223.68358,468.32635
209.9487305,124.98656,368.07526,572.8461
212.6403809,56.108395,169.27948,281.77667
215.3320312,42.14854,101.38873,235.31136
218.0236816,20.82924,168.03386,319.67603
220.7153320,44.641037,133.02693,263.43088
223.4069824,62.890106,255.21718,699.81287
226.0986328,97.907776,334.6123,730.7926
228.7902832,118.95552,234.34625,440.17334
231.4819336,182.25217,254.473,449.11813
234.1735840,128.7682,536.52844,1008.8131
236.8652344,137.14024,342.94913,912.782
239.5568848,165.77629,280.49512,360.1272
242.2485352,51.70468,309.819,844.8663
244.9401855,36.389904,281.29086,896.384
247.6318359,33.848743,256.91052,476.50876
