Spectrum Analyzer Data File
2015-04-29 15:39:12

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,6.947877E-6,2.0072664E-5,5.066056E-5
5.3833008,1.7294828E-4,3.5581103E-4,7.9194136E-4
8.0749512,0.0011181656,0.001679684,0.0038112656
10.7666016,0.0042924457,0.004639375,0.010549652
13.4582520,0.011107922,0.010609888,0.023565222
16.1499023,0.024020214,0.021707159,0.043806046
18.8415527,0.046575338,0.038050365,0.0721242
21.5332031,0.07992976,0.055457737,0.10968683
24.2248535,0.124875106,0.08061099,0.15960965
26.9165039,0.19598313,0.11775911,0.22240566
29.6081543,0.27918443,0.16493528,0.27918443
32.2998047,0.3944436,0.21554594,0.3944436
34.9914551,0.50655365,0.27107224,0.50655365
37.6831055,0.6538664,0.34096912,0.6538664
40.3747559,0.86969894,0.45886415,0.86969894
43.0664062,1.0436668,0.50845516,1.0436668
45.7580566,1.2164408,0.5850464,1.2164408
48.4497070,1.4954791,0.7206319,1.4954791
51.1413574,1.6932065,0.8490522,1.6932065
53.8330078,2.4650252,1.0814515,2.4650252
56.5246582,2.4157267,1.4821368,2.4157267
59.2163086,1.7215967,2.0637603,3.3111115
61.9079590,2.5128057,3.6713736,8.097546
64.5996094,23.813032,13.882102,36.88106
67.2912598,18.819221,9.308227,18.819221
69.9829102,13.677165,12.773455,25.320684
72.6745605,10.905104,17.587925,32.058372
75.3662109,7.883495,13.65655,33.00835
78.0578613,16.655237,18.312775,44.769127
80.7495117,21.422266,17.729923,45.965908
83.4411621,16.842081,12.280513,27.586521
86.1328125,27.452925,20.922094,42.391277
88.8244629,51.354847,34.130962,69.485634
91.5161133,85.518845,42.678566,86.37281
94.2077637,70.16639,44.440372,80.27203
96.8994141,114.00109,91.30964,242.78099
99.5910645,17.442656,30.228828,61.783295
102.2827148,59.06683,50.289284,97.91491
104.9743652,16.063986,70.012665,143.69241
107.6660156,68.96612,66.88246,141.84254
110.3576660,55.965057,77.95902,196.97504
113.0493164,75.393684,88.05511,220.98293
115.7409668,80.02253,111.94403,308.83957
118.4326172,150.42471,104.1488,227.73308
121.1242676,121.454994,106.901215,249.83568
123.8159180,143.2189,116.715195,240.56561
126.5075684,601.40063,293.4673,689.958
129.1992188,224.16914,287.05316,1062.5083
131.8908691,63.83154,93.88971,244.25471
134.5825195,200.10597,120.82059,200.10597
137.2741699,131.97993,91.22074,139.30484
139.9658203,46.322308,163.64825,456.60886
142.6574707,158.47644,119.46104,158.47644
145.3491211,71.06945,125.49435,240.4079
148.0407715,95.55224,128.61221,365.237
150.7324219,120.32599,134.23628,225.50893
153.4240723,296.27707,214.09645,418.22797
156.1157227,511.79773,247.47073,511.79773
158.8073730,956.07996,452.2645,1094.4663
161.4990234,558.5231,519.46277,1767.9624
164.1906738,338.33743,232.2766,652.3246
166.8823242,424.34088,196.33897,424.34088
169.5739746,167.0737,135.93861,177.27705
172.2656250,185.76564,167.21588,281.14008
174.9572754,41.490013,174.7001,601.87897
177.6489258,92.1554,135.61159,283.61392
180.3405762,11.557057,136.1062,262.4171
183.0322266,77.192,115.046135,205.38298
185.7238770,145.16365,178.16583,235.55298
188.4155273,405.8336,202.07516,405.8336
