Spectrum Analyzer Data File		
2015/4/29 15:31		
		
Frequency (Hz)	Average Amplitude	Max Amplitude
0	0	0
2.6916504	1.00E-04	1.78E-04
5.3833008	0.00153396	0.002707346
8.0749512	0.00714078	0.012718532
10.7666016	0.02081088	0.036890563
13.458252	0.045987953	0.08265584
16.1499023	0.085194044	0.1538164
18.8415527	0.13871233	0.25079805
21.5332031	0.20492058	0.36069164
24.2248535	0.28842774	0.51045716
26.9165039	0.40966153	0.7592948
29.6081543	0.5300749	0.9728885
32.2998047	0.65130365	1.1340756
34.9914551	0.7760727	1.3511535
37.6831055	0.963792	1.6934572
40.3747559	1.1833645	2.145229
43.0664062	1.4071993	2.5958824
45.7580566	1.6676768	3.1248639
48.449707	1.9162555	3.5566173
51.1413574	2.1789572	3.9418564
53.8330078	2.771957	5.46192
56.5246582	3.4357297	7.335968
59.2163086	4.022305	8.980883
61.907959	3.455753	6.64005
64.5996094	11.365146	26.98514
67.2912598	12.717354	32.471214
69.9829102	9.557565	23.143816
72.6745605	19.02678	27.687689
75.3662109	21.070074	33.709316
78.0578613	55.23793	159.4826
80.7495117	23.621214	37.087364
83.4411621	30.972286	62.85839
86.1328125	30.207932	78.06538
88.8244629	37.166313	74.512695
91.5161133	71.875824	115.06089
94.2077637	62.165577	147.99449
96.8994141	69.229164	216.53116
99.5910645	41.185806	86.497086
102.2827148	50.961723	105.10982
104.9743652	47.114048	102.90294
107.6660156	47.652885	77.23351
110.357666	56.98329	80.0825
113.0493164	51.120167	77.999115
115.7409668	117.03039	267.31693
118.4326172	71.954475	159.0636
121.1242676	107.32851	200.1546
123.815918	161.02737	353.2424
126.5075684	208.28754	580.5866
129.1992188	270.99014	863.4957
131.8908691	85.43777	162.29321
134.5825195	89.440956	257.35635
137.2741699	57.44005	110.24906
139.9658203	86.91169	124.68908
142.6574707	125.04574	252.81339
145.3491211	122.09917	177.99843
148.0407715	114.496666	223.73744
150.7324219	204.29892	269.27042
153.4240723	451.26382	675.3537
156.1157227	625.5191	1122.149
158.807373	348.02866	672.57697
161.4990234	296.51663	594.40485
164.1906738	236.20012	476.69592
166.8823242	111.20015	145.64
169.5739746	301.70682	704.5479
172.265625	188.87448	267.93002
174.9572754	132.83119	239.25761
177.6489258	183.76343	198.96071
180.3405762	163.6517	391.41605
183.0322266	160.10347	481.57794
185.723877	308.02972	1029.188
188.4155273	203.56711	486.75198
191.1071777	277.9893	479.45624
193.7988281	476.25162	1233.9972
196.4904785	230.82387	616.1701
199.1821289	190.4619	409.36685
201.8737793	270.974	571.36523
204.5654297	393.0124	1123.0483
207.2570801	233.21323	574.25354
209.9487305	198.86276	429.7742
212.6403809	299.7468	855.2018
215.3320312	203.4415	550.13544
218.0236816	120.42177	215.00903
220.715332	149.02219	346.22833
223.4069824	367.8171	952.4412
226.0986328	287.22382	745.92615
228.7902832	364.24707	904.36456
231.4819336	817.24384	2030.217
234.173584	686.04865	1475.8989
236.8652344	537.1859	1302.7057
239.5568848	487.84555	1142.6532
242.2485352	366.03842	690.74744
244.9401855	516.0872	1559.1396
247.6318359	375.37885	965.77893
250.3234863	333.3182	797.22644
253.0151367	256.49185	586.0934
255.7067871	278.34665	536.6216
258.3984375	279.56772	753.74677
261.0900879	220.40393	377.08914
263.7817383	202.14507	383.45474
266.4733887	280.26633	532.78125
269.1650391	502.99396	880.5249
271.8566895	878.6156	1797.2483
274.5483398	443.25937	885.6752
277.2399902	394.8872	705.9834
279.9316406	322.56888	769.43365
282.623291	340.61002	825.1127
285.3149414	222.1149	464.79987
288.0065918	199.66101	425.87717
290.6982422	262.54562	460.3952
293.3898926	150.64754	268.8078
296.081543	332.0644	707.8324
298.7731934	179.75685	341.5056
301.4648438	253.02155	491.35962
304.1564941	483.5536	1008.21844
306.8481445	767.57654	1406.4312
309.5397949	1331.6956	3094.9373
312.2314453	478.3619	1404.7349
314.9230957	241.10588	390.43802
317.6147461	247.62172	406.5606
320.3063965	430.52692	852.61566
322.9980469	363.77274	744.7158
325.6896973	299.0118	814.13794
328.3813477	421.40826	896.93555
331.072998	239.14108	330.42874
333.7646484	234.87935	353.11008
336.4562988	464.12024	724.15155
339.1479492	558.553	1127.2894
341.8395996	407.19983	1015.5259
344.53125	479.86795	969.8062
347.2229004	539.3904	909.7214
349.9145508	799.92334	1994.5793
352.6062012	418.36688	1148.6224
355.2978516	278.15845	505.5304
357.989502	418.1504	564.18646
360.6811523	382.96478	662.4851
363.3728027	384.37338	648.97205
366.0644531	301.81308	564.86346
368.7561035	310.47916	500.47476
371.4477539	547.2969	1161.5714
374.1394043	778.7931	2295.4087
376.8310547	356.13477	446.4793
379.5227051	574.43445	1278.1305
382.2143555	649.8449	1292.097
384.9060059	760.7295	1094.2206
387.5976562	970.1441	2016.3035
390.2893066	539.2558	1028.5497
392.980957	392.7499	617.72516
395.6726074	416.61075	702.2078
398.3642578	483.32614	891.69006
401.0559082	601.3998	1451.5005
403.7475586	357.69025	723.7019
406.439209	724.0014	1478.5784
409.1308594	943.79755	1923.6356
411.8225098	561.7425	1028.0233
414.5141602	550.6114	919.0903
417.2058105	535.9049	1449.5795
419.8974609	734.47845	1499.8856
422.5891113	617.5285	1345.4203
425.2807617	509.01147	1246.9377
427.9724121	591.30365	1334.3331
430.6640625	377.1707	605.7609
433.3557129	478.94653	851.2282
436.0473633	412.6964	753.05225
438.7390137	521.59485	1202.4698
441.4306641	629.0409	1007.94147
444.1223145	874.77075	1250.5463
446.8139648	493.91064	862.2152
449.5056152	415.4471	800.1051
452.1972656	524.04065	1013.82306
454.888916	337.82492	790.97815
457.5805664	491.2526	1087.542
460.2722168	495.93607	1426.0331
462.9638672	762.21204	1234.3524
465.6555176	1346.4841	3192.6868
468.347168	537.80597	1584.6168
471.0388184	318.13135	810.4909
473.7304688	657.7006	1548.7975
476.4221191	614.6335	1044.1675
479.1137695	558.4469	1248.141
481.8054199	625.42804	927.46484
484.4970703	313.6873	689.0045
487.1887207	487.41272	1141.4823
489.8803711	446.94553	804.00665
492.5720215	405.3938	973.37524
495.2636719	508.90073	1411.8613
497.9553223	522.1219	1010.44415
500.6469727	724.7109	1556.6981
503.338623	879.3696	1652.8162
506.0302734	646.6327	1616.5394
508.7219238	320.64746	725.87415
511.4135742	840.89215	1496.5731
514.1052246	394.67386	666.2418
516.796875	852.7634	1633.6616
519.4885254	731.42163	1252.3529
522.1801758	280.81686	378.64517
524.8718262	357.58215	700.56433
527.5634766	459.29755	965.3097
530.255127	349.14813	659.71735
532.9467773	272.56876	537.27734
535.6384277	647.16315	807.0657
538.3300781	797.4625	1285.1344
541.0217285	1124.5067	1888.2952
543.7133789	998.3511	1437.6897
546.4050293	589.3381	1841.4048
549.0966797	644.7621	1292.1022
551.7883301	675.62164	1107.467
554.4799805	486.8759	1224.8811
557.1716309	549.548	1462.4336
559.8632812	481.83133	1198.4128
562.5549316	540.59705	1085.0096
565.246582	572.82404	835.8796
567.9382324	542.54474	949.6819
570.6298828	390.96686	613.0451
573.3215332	755.0438	1695.8036
576.0131836	242.46283	487.5038
578.704834	451.89066	570.2076
581.3964844	879.8976	1317.3445
584.0881348	512.05646	978.4413
586.7797852	252.7979	571.52185
589.4714355	440.41727	733.42316
592.1630859	291.5182	615.1604
594.8547363	293.29297	491.21094
597.5463867	334.578	622.75574
600.2380371	361.43896	715.76654
602.9296875	501.60962	747.6377
605.6213379	332.9237	481.40195
608.3129883	306.69086	827.49164
611.0046387	444.61438	792.61426
613.6962891	612.8427	1154.1868
