Spectrum Analyzer Data File
2015-04-29 15:34:55

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,1.211691E-4,7.32314E-5,1.211691E-4
5.3833008,0.0018412466,0.0011169146,0.0018412466
8.0749512,0.008519602,0.0052343197,0.008519602
10.7666016,0.026060082,0.015346443,0.026060082
13.4582520,0.057927586,0.033995993,0.057927586
16.1499023,0.10161778,0.060940485,0.10161778
18.8415527,0.17469504,0.10186164,0.17469504
21.5332031,0.26947802,0.15558018,0.26947802
24.2248535,0.36646396,0.21709435,0.36646396
26.9165039,0.5084597,0.29529914,0.5084597
29.6081543,0.6775409,0.38978767,0.6775409
32.2998047,0.8827437,0.49640968,0.8827437
34.9914551,0.9838828,0.60003805,0.9838828
37.6831055,1.1711155,0.7206717,1.1711155
40.3747559,1.2289779,0.811674,1.2289779
43.0664062,1.5301058,0.9616938,1.5301058
45.7580566,1.8245944,1.1349537,1.8245944
48.4497070,2.149125,1.330178,2.149125
51.1413574,2.501128,1.5330153,2.501128
53.8330078,2.918161,1.755877,2.918161
56.5246582,2.2126913,2.1060543,2.6536202
59.2163086,5.2647195,2.8144786,5.2647195
61.9079590,6.026159,4.190009,6.026159
64.5996094,0.610882,2.9999866,4.036746
67.2912598,55.781982,17.427973,55.781982
69.9829102,13.259238,13.585127,34.65876
72.6745605,8.659007,14.688824,40.627262
75.3662109,8.682043,9.595657,20.38452
78.0578613,18.396873,10.60627,18.396873
80.7495117,22.474916,10.850942,22.474916
83.4411621,31.12039,31.543362,49.281765
86.1328125,31.015121,11.6142235,31.015121
88.8244629,35.987526,15.1615715,35.987526
91.5161133,37.487934,14.5532465,37.487934
94.2077637,25.83441,13.374606,25.83441
96.8994141,68.219055,26.595926,68.219055
99.5910645,257.23822,73.09462,257.23822
102.2827148,332.56863,93.48926,332.56863
104.9743652,41.0012,49.83081,92.84304
107.6660156,104.53138,71.13311,134.58559
110.3576660,8.224701,57.58971,137.69528
113.0493164,12.072279,38.43258,74.22724
115.7409668,14.336212,52.46279,103.60383
118.4326172,85.2313,73.88369,126.29866
121.1242676,44.6555,36.681435,53.271805
123.8159180,87.80599,77.15954,87.80599
