Spectrum Analyzer Data File
2015-03-17 16:36:57

Frequency (Hz), Amplitude,Average Amplitude
0.0000000,0.0,0.0
2.6916504,3.747979E-5,0.0
5.3833008,5.5998453E-4,0.0
8.0749512,0.0026671842,0.0
10.7666016,0.0076063634,0.0
13.4582520,0.01661299,0.0
16.1499023,0.030674266,0.0
18.8415527,0.048838574,0.0
21.5332031,0.075101756,0.0
24.2248535,0.10379325,0.0
26.9165039,0.1359061,0.0
29.6081543,0.18361591,0.0
32.2998047,0.22654751,0.0
34.9914551,0.28874695,0.0
37.6831055,0.33437914,0.0
40.3747559,0.3816158,0.0
43.0664062,0.46763274,0.0
45.7580566,0.55625564,0.0
48.4497070,0.62032104,0.0
51.1413574,0.7199,0.0
53.8330078,0.7978798,0.0
56.5246582,0.88034934,0.0
59.2163086,1.1377306,0.0
61.9079590,1.8468407,0.0
64.5996094,0.64716977,0.0
67.2912598,1.7335535,0.0
69.9829102,0.5733439,0.0
72.6745605,1.5800555,0.0
75.3662109,1.3299335,0.0
78.0578613,2.9866874,0.0
80.7495117,6.2508297,0.0
83.4411621,7.2216463,0.0
86.1328125,5.8489027,0.0
88.8244629,3.5700567,0.0
91.5161133,5.797824,0.0
94.2077637,9.414676,0.0
96.8994141,8.872143,0.0
99.5910645,20.889095,0.0
102.2827148,16.740852,0.0
104.9743652,14.4015,0.0
107.6660156,10.140593,0.0
110.3576660,5.386163,0.0
113.0493164,18.515678,0.0
115.7409668,35.873974,0.0
118.4326172,3.9243207,0.0
121.1242676,31.47492,0.0
123.8159180,29.44774,0.0
126.5075684,11.061626,0.0
129.1992188,43.497063,0.0
131.8908691,9.446844,0.0
134.5825195,2.4447422,0.0
137.2741699,34.550426,0.0
139.9658203,26.198566,0.0
142.6574707,43.613586,0.0
145.3491211,19.765842,0.0
148.0407715,25.408867,0.0
150.7324219,16.788841,0.0
153.4240723,47.034206,0.0
156.1157227,72.16603,0.0
158.8073730,16.973137,0.0
161.4990234,11.616986,0.0
164.1906738,13.731089,0.0
166.8823242,61.400185,0.0
169.5739746,36.47935,0.0
172.2656250,59.990383,0.0
174.9572754,30.809147,0.0
177.6489258,154.04527,0.0
180.3405762,33.77291,0.0
183.0322266,50.045628,0.0
185.7238770,41.817505,0.0
188.4155273,41.07851,0.0
191.1071777,45.401447,0.0
193.7988281,40.19202,0.0
196.4904785,89.73701,0.0
199.1821289,86.283424,0.0
201.8737793,198.72873,0.0
204.5654297,85.03392,0.0
207.2570801,39.312122,0.0
209.9487305,63.094604,0.0
212.6403809,54.09441,0.0
215.3320312,125.932236,0.0
218.0236816,115.67503,0.0
220.7153320,31.589205,0.0
223.4069824,106.219284,0.0
226.0986328,39.956554,0.0
228.7902832,116.09322,0.0
231.4819336,79.50431,0.0
234.1735840,105.08507,0.0
236.8652344,109.0972,0.0
239.5568848,75.1496,0.0
242.2485352,64.62922,0.0
244.9401855,92.69505,0.0
247.6318359,140.78984,0.0
250.3234863,30.389719,0.0
253.0151367,108.82246,0.0
255.7067871,140.53831,0.0
258.3984375,44.314327,0.0
261.0900879,135.80249,0.0
263.7817383,164.05437,0.0
266.4733887,157.02704,0.0
269.1650391,175.69896,0.0
271.8566895,88.25026,0.0
274.5483398,187.29034,0.0
277.2399902,245.44438,0.0
279.9316406,202.57076,0.0
282.6232910,303.07333,0.0
285.3149414,143.24455,0.0
288.0065918,168.14996,0.0
290.6982422,164.1775,0.0
293.3898926,141.49712,0.0
296.0815430,57.487007,0.0
298.7731934,66.78177,0.0
301.4648438,322.57788,0.0
304.1564941,12.300383,0.0
306.8481445,13.466388,0.0
309.5397949,95.796326,0.0
312.2314453,122.33869,0.0
314.9230957,116.190025,0.0
317.6147461,318.71066,0.0
320.3063965,283.04797,0.0
322.9980469,413.7207,0.0
325.6896973,155.37015,0.0
328.3813477,204.16031,0.0
331.0729980,197.58873,0.0
333.7646484,149.71172,0.0
336.4562988,223.39044,0.0
339.1479492,212.99445,0.0
341.8395996,90.10504,0.0
344.5312500,60.00346,0.0
347.2229004,122.16922,0.0
349.9145508,64.446236,0.0
352.6062012,71.104996,0.0
355.2978516,116.43932,0.0
357.9895020,24.869686,0.0
360.6811523,151.34421,0.0
363.3728027,161.94518,0.0
366.0644531,138.30127,0.0
368.7561035,245.63612,0.0
371.4477539,78.25408,0.0
374.1394043,68.02464,0.0
376.8310547,146.9001,0.0
379.5227051,98.63647,0.0
382.2143555,152.4687,0.0
384.9060059,109.703354,0.0
387.5976562,80.12711,0.0
390.2893066,44.09778,0.0
392.9809570,73.00434,0.0
395.6726074,103.03309,0.0
398.3642578,134.0388,0.0
401.0559082,303.50778,0.0
403.7475586,178.42007,0.0
406.4392090,230.39436,0.0
409.1308594,60.54345,0.0
411.8225098,23.35372,0.0
414.5141602,28.433289,0.0
417.2058105,165.65935,0.0
419.8974609,23.216236,0.0
422.5891113,47.23773,0.0
425.2807617,92.482376,0.0
427.9724121,90.14634,0.0
430.6640625,125.85617,0.0
433.3557129,204.10645,0.0
436.0473633,262.59732,0.0
438.7390137,153.21579,0.0
441.4306641,202.03798,0.0
444.1223145,120.331505,0.0
446.8139648,313.3177,0.0
449.5056152,182.72353,0.0
452.1972656,163.2335,0.0
454.8889160,109.37467,0.0
457.5805664,137.52046,0.0
460.2722168,120.27215,0.0
462.9638672,115.57873,0.0
465.6555176,147.73627,0.0
468.3471680,102.48558,0.0
471.0388184,100.63566,0.0
473.7304688,254.78006,0.0
476.4221191,143.03581,0.0
479.1137695,175.13364,0.0
481.8054199,245.62433,0.0
484.4970703,85.18339,0.0
487.1887207,175.11275,0.0
489.8803711,124.92538,0.0
492.5720215,184.04251,0.0
495.2636719,118.825424,0.0
497.9553223,221.73843,0.0
500.6469727,225.2302,0.0
503.3386230,77.56788,0.0
506.0302734,207.03262,0.0
508.7219238,216.2462,0.0
511.4135742,83.25158,0.0
514.1052246,198.1349,0.0
516.7968750,203.56073,0.0
519.4885254,52.38872,0.0
522.1801758,81.51169,0.0
524.8718262,47.634552,0.0
