Spectrum Analyzer Data File
2015-03-29 18:29:48

Frequency (Hz), Amplitude,Average Amplitude
0.0000000,0.0,0.0
2.6916504,1.9517787E-5,1.1014745E-5
5.3833008,3.035761E-4,1.7664973E-4
8.0749512,0.0014224232,8.273948E-4
10.7666016,0.0041234433,0.0023535031
13.4582520,0.009180575,0.0051483978
16.1499023,0.016645486,0.009836049
18.8415527,0.02750061,0.016087348
21.5332031,0.041644108,0.024617894
24.2248535,0.057197288,0.034916814
26.9165039,0.076780364,0.047982074
29.6081543,0.09609236,0.06482009
32.2998047,0.120213255,0.077807546
34.9914551,0.15445414,0.10508113
37.6831055,0.2064216,0.12985082
40.3747559,0.21382806,0.14997947
43.0664062,0.24634397,0.16793908
45.7580566,0.29561412,0.21241319
48.4497070,0.30817705,0.23483609
51.1413574,0.3497259,0.28144696
53.8330078,0.40271282,0.32177016
56.5246582,0.4668558,0.4612559
59.2163086,0.47627157,0.44946584
61.9079590,1.2918339,0.7488702
64.5996094,0.8495055,1.0553287
67.2912598,2.2130015,1.5397737
69.9829102,1.8758152,1.2844799
72.6745605,1.8886834,1.7630322
75.3662109,2.6098418,2.8063293
78.0578613,4.2674017,3.5086017
80.7495117,3.8535628,4.237123
83.4411621,3.9658744,2.480292
86.1328125,5.2956257,2.9028444
88.8244629,2.667982,4.1251807
91.5161133,5.756644,6.3429418
94.2077637,8.825455,5.3961
96.8994141,9.666964,8.843285
99.5910645,3.0174942,4.948162
102.2827148,10.66725,8.391114
104.9743652,16.57417,9.09175
107.6660156,15.267095,8.942559
110.3576660,17.351995,8.6934595
113.0493164,16.009762,12.53135
115.7409668,33.454525,18.637756
118.4326172,2.9175751,5.6130295
121.1242676,14.136728,13.399616
123.8159180,7.2682333,10.452245
126.5075684,10.427753,11.8615
129.1992188,42.301514,24.46532
131.8908691,26.826736,21.246809
134.5825195,14.900571,9.016807
137.2741699,22.517076,14.466516
139.9658203,10.627952,9.8636
142.6574707,8.03594,11.878016
145.3491211,39.72957,24.82679
148.0407715,55.022976,31.258955
150.7324219,13.90201,24.796593
153.4240723,23.418291,33.509377
156.1157227,42.567406,24.765903
158.8073730,42.709564,23.782598
161.4990234,39.641186,23.370817
164.1906738,40.031628,21.713707
166.8823242,32.084785,19.763912
169.5739746,27.203232,20.830297
172.2656250,21.173723,13.5451975
174.9572754,69.479004,29.975983
177.6489258,19.782894,18.364923
180.3405762,20.03081,10.734695
183.0322266,21.487751,23.912016
185.7238770,38.33146,32.833477
188.4155273,37.278538,23.985653
191.1071777,11.704401,15.548556
193.7988281,47.265648,27.817537
196.4904785,21.301865,21.687963
199.1821289,109.642784,50.511124
201.8737793,4.454061,14.158126
204.5654297,52.267296,34.40169
207.2570801,58.18387,29.516962
209.9487305,34.42172,32.810555
212.6403809,43.03545,29.121696
215.3320312,40.894474,35.946846
218.0236816,48.462822,47.953846
220.7153320,81.412415,63.7644
223.4069824,164.38513,97.69378
226.0986328,167.41075,92.09852
228.7902832,260.24295,126.06396
231.4819336,889.90717,534.5018
234.1735840,838.4607,299.49905
236.8652344,400.4538,159.24268
239.5568848,199.03783,74.55677
242.2485352,90.26995,49.389824
244.9401855,133.15392,65.25907
247.6318359,86.291885,44.59184
250.3234863,55.416687,26.521276
253.0151367,38.632236,41.037487
255.7067871,58.535263,38.72301
258.3984375,26.659191,29.24554
261.0900879,41.582443,32.21096
263.7817383,53.47179,45.564182
266.4733887,26.095951,43.58729
269.1650391,79.389114,40.53298
271.8566895,21.288277,27.73819
274.5483398,78.31992,55.907772
277.2399902,60.197624,43.18052
279.9316406,55.125267,44.946087
282.6232910,62.739082,36.45182
285.3149414,110.127426,60.055237
288.0065918,39.714634,41.752235
