Spectrum Analyzer Data File																							
2015/3/17 16:31																							
				2171.472535	1779.166761	1246.926998	1224.084473	1342.278938	1308.248366	807.2696106	700.3501301	555.8544337	508.8771071	91.12750382	81.52559437	73.9069245	65.36385843	69.66238953	129.997843	73.99801427	52.69141555	49.850037	46.06576853
Frequency (Hz)	 Amplitude	Average Amplitude																					
0	0	0		1																			
2.6916504	5.81E-05	3.99E-05		1.000091768																			
5.3833008	8.91E-04	5.98E-04		1.001377343																			
8.0749512	0.004141036	0.002833488		1.006545678																			
10.7666016	0.01185577	0.008101769		1.018830104																			
13.458252	0.025457025	0.01781874		1.041882492																			
16.1499023	0.047404625	0.03269336		1.078185185																			
18.8415527	0.07594397	0.052720033		1.129067829																			
21.5332031	0.11418012	0.08100795		1.205057999																			
24.2248535	0.15835175	0.11251828		1.295741236																			
26.9165039	0.21319719	0.1541421		1.426074125																			
29.6081543	0.27767166	0.19908613		1.581561666																			
32.2998047	0.35718513	0.26792714		1.853220689																			
34.9914551	0.38091362	0.2802595		1.906599611																			
37.6831055	0.5410407	0.3754627		2.373901528																			
40.3747559	0.5806096	0.4412563		2.762207499																			
43.0664062	0.7715675	0.55738527		3.608986604																			
45.7580566	0.7877421	0.6268834		4.235292411																			
48.449707	0.88004404	0.71432		5.179883593																			
51.1413574	0.8439989	0.85320354		7.131872																			
53.8330078	0.89887	1.0579957		11.42867019																			
56.5246582	2.403072	1.196221		15.7116212																			
59.2163086	2.3871045	2.0118651		102.7697027																			
61.907959	0.29622447	1.746916		55.83621875																			
64.5996094	5.4474716	3.1360123		1367.767563																			
67.2912598	11.538269	6.633645		4301748.342																			
69.9829102	3.8612216	7.359035		22857830.08																			
72.6745605	15.199468	9.000019		1000043750																			
75.3662109	22.2556	9.948428		8880307409																			
78.0578613	10.437329	8.241884		174535590.6																			
80.7495117	31.780622	17.229925		1.70E+17																			
83.4411621	75.570145	25.019262		1.05E+25																			
86.1328125	32.558475	21.704762		5.07E+21																			
88.8244629	12.865719	18.749222		5.61E+18																			
91.5161133	26.647875	28.406788		2.55E+28																			
94.2077637	72.22591	30.061678		1.15E+30																			
96.8994141	101.549164	39.382603		2.41E+39																			
99.5910645	16.971655	33.26247		1.83E+33																			
102.2827148	29.272753	47.859177		7.23E+47																			
104.9743652	90.535446	51.485256		3.06E+51																			
107.6660156	12.392187	39.72313		5.29E+39																			
110.357666	26.721596	42.156292		1.43E+42																			
113.0493164	47.80908	31.04993		1.12E+31																			
115.7409668	64.8698	41.830338		6.77E+41																			
118.4326172	108.01631	46.05532		1.14E+46																			
121.1242676	102.75436	54.663		4.60E+54																			
123.815918	120.9767	61.513756		3.26E+61																			
126.5075684	87.67448	62.72218		5.27E+62																			
129.1992188	18.982784	36.544067		3.50E+36																			
131.8908691	86.636375	35.478386		3.01E+35																			
134.5825195	68.930214	57.521076		3.32E+57																			
137.2741699	119.48717	65.13717		1.37E+65																			
139.9658203	171.75896	83.16385		1.46E+83																			
142.6574707	146.21138	86.748436		5.60E+86																			
145.3491211	12.625004	41.997295		9.94E+41																			
148.0407715	21.188326	36.672115		4.70E+36																			
150.7324219	71.6822	32.48916		3.08E+32																			
153.4240723	317.15536	114.955696		9.03E+114																			
156.1157227	79.65889	59.726196		5.32E+59																			
158.807373	42.9589	41.204166		1.60E+41																			
161.4990234	122.48343	92.45989		2.88E+92																			
164.1906738	261.30023	96.41605		2.61E+96																			
166.8823242	20.387468	48.020287		1.05E+48																			
169.5739746	118.77387	90.99286		9.84E+90																			
172.265625	178.27142	94.22087		1.66E+94																			
174.9572754	187.20851	132.41635		2.61E+132																			
177.6489258	103.56114	81.49279		3.11E+81																			
180.3405762	82.383896	55.709595		5.12E+55																			
183.0322266	49.64872	58.77556		5.96E+58																			
185.723877	62.655914	84.24041		1.74E+84																			
188.4155273	99.280014	90.86184		7.28E+90																			
191.1071777	114.08012	72.21596		1.64E+72																			
193.7988281	121.68476	96.131065		1.35E+96																			
196.4904785	96.99321	90.689735		4.89E+90																			
199.1821289	182.49373	86.429535		2.69E+86																			
201.8737793	123.3075	74.86028		7.25E+74																			
204.5654297	198.58861	96.016914		1.04E+96																			
207.2570801	206.19943	98.380035		2.40E+98																			
209.9487305	238.46478	124.60771		4.05E+124																			
212.6403809	115.20407	84.512535		3.25E+84																			
215.3320312	275.39154	112.13194		1.36E+112																			
218.0236816	248.72212	101.85438		7.15E+101																			
220.715332	161.73122	70.11624		1.31E+70																			
223.4069824	6.018615	64.731346		5.39E+64																			
226.0986328	207.81891	66.52664		3.36E+66																			
228.7902832	629.7982	229.06189		1.15E+229																			
231.4819336	220.59438	114.75116		5.64E+114																			
234.173584	165.1444	106.61754		4.15E+106																			
236.8652344	153.41597	93.20335		1.60E+93																			
239.5568848	587.59076	208.8686		7.39E+208																			
242.2485352	179.06973	95.9062		8.06E+95																			
244.9401855	317.13947	169.3436		2.21E+169																			
247.6318359	281.3937	107.04308		1.10E+107																			
250.3234863	348.94012	147.64336		4.40E+147																			
253.0151367	87.96122	78.015945		1.04E+78																			
255.7067871	79.284676	67.597885		3.96E+67																			
258.3984375	130.33215	91.55393		3.58E+91																			
261.0900879	76.38533	83.12237		1.33E+83																			
263.7817383	101.38053	98.96897		9.31E+98																			
266.4733887	107.03533	72.79525		6.24E+72																			
269.1650391	317.4213	120.60152		4.00E+120																			
271.8566895	136.85521	101.924324		8.40E+101																			
274.5483398	382.9505	185.83351		6.82E+185																			
277.2399902	237.6958	118.208565		1.62E+118																			
279.9316406	119.28463	75.70296		5.05E+75																			
282.623291	125.81164	142.078		1.20E+142																			
285.3149414	235.35666	98.22654		1.68E+98																			
288.0065918	237.63011	122.83971		6.91E+122																			
290.6982422	73.13292	71.135345		1.37E+71																			
293.3898926	225.40259	125.72353		5.29E+125																			
296.081543	317.6979	130.64313		4.40E+130																			
298.7731934	194.48932	116.69583		4.96E+116																			
301.4648438	417.226	167.2464		1.76E+167																			
304.1564941	231.37784	143.68715		4.87E+143																			
306.8481445	159.43182	97.656204		4.53E+97																			
309.5397949	91.98941	166.21562		1.64E+166																			
312.2314453	217.76971	114.5694		3.71E+114																			
314.9230957	467.2485	190.1366		1.37E+190																			
317.6147461	75.044754	118.791565		6.19E+118																			
320.3063965	509.68054	226.47404		2.98E+226																			
322.9980469	311.53458	123.98479		9.66E+123																			
325.6896973	445.26758	165.01186		1.03E+165																			
328.3813477	436.61426	210.74892		5.61E+210																			
331.072998	696.5663	239.12398		1.33E+239																			
333.7646484	628.17163	200.39589		2.49E+200																			
336.4562988	452.82416	170.81271		6.50E+170																			
339.1479492	154.69246	118.68764		4.87E+118																			
341.8395996	299.8766	119.74409		5.55E+119																			
