Class,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Result
T154,5215.180285,4191.869805,3662.53341,3262.714156,2692.373167,1727.014126,1363.876038,1284.934857,1240.845744,1213.186951,108.1967347,105.0789299,96.19729887,95.37708532,115.938381,159.2179355,87.90581065,74.59009654,63.59820306,64.17789891,E
T155,5117.560528,3979.49372,3951.901472,3252.229722,3137.263229,3295.590086,2329.824624,2059.577011,1761.576967,1423.524915,131.5152231,117.2927616,113.5723867,123.1523866,131.3241271,427.5554197,243.6266688,121.6100295,99.14090799,84.48616339,E
T156,12156.55414,11642.71814,10482.49914,9473.284071,7471.151725,7722.152568,8970.180694,7630.263269,6083.37787,5499.99324,620.8240274,520.1142784,377.9757568,337.238804,319.6422855,398.5969719,273.7100405,242.2280528,205.0826874,239.7178898,E
T157,15819.15177,19008.88449,17817.61718,21533.95395,18616.65175,14282.60194,12035.61743,9685.555142,9405.362566,9243.668054,1331.535093,1166.834512,1182.039976,1059.519557,934.3936876,656.4729299,692.0423409,665.6135513,730.1005215,668.6691459,M
T158,20809.74697,22152.81297,21396.40673,19935.94279,19793.49871,15289.1102,11211.09802,12009.1996,10572.94738,9834.022837,1226.124195,1159.736994,1098.673243,1084.556819,860.1100661,849.0641463,648.9828876,706.8346254,766.4607678,670.1887771,M
T159,10748.87983,10561.96308,9998.857953,10895.97734,10636.17668,8815.952771,7735.810609,6894.169526,6560.111547,6538.555582,833.3712667,781.861891,733.5656215,723.5401552,571.4468225,474.1063047,460.016787,398.2827347,335.5440425,354.8659477,M
T160,8449.690237,7948.123783,7663.434978,10184.84475,8109.410514,6688.711117,5590.883261,5109.039428,5482.105505,5280.168259,720.0346797,660.5791131,642.3354694,760.0892261,563.6088184,463.7684209,384.8959356,436.0484354,409.2855004,368.2101026,M
T161,11410.9845,12518.42373,10591.26525,11782.16956,10379.05837,8917.411053,7502.848455,5972.258659,5691.081575,5671.364313,938.7108336,733.1780595,718.5560434,671.2633784,607.5791062,542.7553187,469.031718,445.3368037,403.00326,408.7648687,M
T162,7709.889758,7704.475312,8584.664654,8199.336984,8177.016023,6506.425063,4274.93715,4983.293357,4431.617748,4389.804631,747.5141329,604.7929022,641.8915196,496.7794441,465.4206109,410.5952841,414.3348332,369.8899244,341.7705012,344.6947516,M
T163,9538.492548,10918.0474,10512.9588,9636.655868,10538.35227,9985.317466,7955.330737,6156.07184,4967.273307,4516.428677,713.5299209,712.3453514,592.8215059,572.8221427,452.9454961,394.9268733,336.7145644,333.5442131,359.3493037,338.2802939,M
