Spectrum Analyzer Data File
2015-04-14 18:16:11

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,5.170456E-6,1.4072312E-4,3.2150873E-4
5.3833008,9.757064E-5,0.0021766864,0.004965797
8.0749512,2.7593563E-4,0.009840972,0.022336932
10.7666016,5.9873535E-4,0.028636163,0.06553046
13.4582520,0.002957875,0.06417627,0.14627585
16.1499023,0.005339052,0.11721358,0.26741362
18.8415527,0.0035193088,0.19250749,0.44481057
21.5332031,0.002777255,0.2937001,0.68394893
24.2248535,0.019604795,0.4027834,0.9142245
26.9165039,0.049276892,0.5309391,1.1702765
29.6081543,0.044016562,0.68385786,1.5389793
32.2998047,0.14245555,0.9075113,1.9814191
34.9914551,0.10396487,1.1164237,2.4865127
37.6831055,0.063749425,1.3790083,3.1816142
40.3747559,0.14587383,1.665729,3.802008
43.0664062,0.12521538,1.9153801,4.4014277
45.7580566,0.07497595,2.223679,5.1762195
48.4497070,0.24523526,2.7350268,6.319316
51.1413574,0.7256489,3.1768107,6.9610605
53.8330078,1.2948856,3.6634407,7.428469
56.5246582,0.4083715,4.6248083,9.671005
59.2163086,8.3981495,5.652392,8.3981495
61.9079590,15.650899,14.180893,20.272541
64.5996094,16.080765,13.158028,20.511765
67.2912598,8.104035,17.219969,31.406075
69.9829102,52.390217,34.91026,52.390217
72.6745605,14.46134,10.842983,15.841465
75.3662109,48.440735,24.201805,48.440735
78.0578613,77.728455,61.349007,77.728455
80.7495117,53.892315,41.64076,53.892315
83.4411621,197.3387,102.83179,197.3387
86.1328125,20.123425,72.50693,177.60057
88.8244629,61.902294,59.292927,89.5606
91.5161133,137.98058,164.39896,319.36276
94.2077637,103.15697,150.99626,339.45087
96.8994141,98.868935,64.94062,98.868935
99.5910645,104.697266,84.2888,104.697266
102.2827148,109.11767,66.79055,109.11767
104.9743652,122.379616,72.80833,122.379616
107.6660156,271.8518,146.55922,271.8518
110.3576660,335.86014,140.72092,335.86014
113.0493164,154.27716,108.335655,154.27716
115.7409668,154.38411,129.39798,199.81488
118.4326172,171.92017,124.94575,171.92017
121.1242676,357.01358,246.93066,357.01358
123.8159180,130.46278,84.29431,130.46278
126.5075684,216.53317,117.9127,216.53317
129.1992188,266.33374,118.454506,266.33374
131.8908691,243.2204,109.56661,243.2204
134.5825195,139.55626,141.14595,144.2372
137.2741699,297.77017,234.59428,339.05298
139.9658203,158.60376,344.68558,756.6159
142.6574707,236.183,191.77942,236.183
145.3491211,202.7202,213.4501,331.70056
148.0407715,250.31236,184.29126,250.31236
150.7324219,199.50401,199.94507,279.78058
153.4240723,414.00507,281.35107,414.00507
156.1157227,329.65134,213.64093,329.65134
158.8073730,274.21307,198.16325,274.21307
161.4990234,158.56075,134.62422,209.1172
164.1906738,396.4076,216.08618,396.4076
166.8823242,518.5343,353.29388,518.5343
169.5739746,972.2471,391.493,972.2471
172.2656250,361.90677,239.18376,361.90677
174.9572754,528.0548,245.77837,528.0548
177.6489258,195.31822,178.26022,246.49223
180.3405762,273.75418,352.1942,463.82043
183.0322266,278.11044,555.8936,1112.0873
185.7238770,354.23898,1225.9825,3030.1292
188.4155273,551.6261,547.07684,1010.6788
191.1071777,367.18796,441.846,770.8427
193.7988281,528.08374,301.26138,528.08374
196.4904785,466.92303,314.93207,466.92303
199.1821289,536.1579,263.0517,536.1579
201.8737793,625.0025,342.09833,625.0025
204.5654297,591.8143,251.31328,591.8143
207.2570801,457.51492,199.84418,457.51492
209.9487305,408.95163,279.97375,408.95163
212.6403809,462.22256,374.72763,548.8739
215.3320312,145.35896,213.94736,403.04178
218.0236816,575.4341,324.07864,575.4341
220.7153320,610.03015,430.83212,610.03015
223.4069824,279.75635,292.87677,439.57806
226.0986328,190.15187,365.31015,467.72256
228.7902832,210.49823,246.27814,267.4057
231.4819336,398.36945,574.19556,1154.4072
234.1735840,117.020386,737.5494,1793.5413
236.8652344,310.36908,469.9756,989.2449
239.5568848,248.6677,356.37796,654.2591
242.2485352,235.84581,372.109,601.59796
244.9401855,179.65994,349.97757,473.52295
247.6318359,96.60537,326.41696,444.11328
250.3234863,176.61636,403.2607,660.313
253.0151367,516.3853,498.3008,635.8397
255.7067871,974.8818,678.13086,974.8818
258.3984375,79.54119,157.83762,252.9332
261.0900879,324.95456,364.4256,472.59613
263.7817383,900.72363,538.68146,900.72363
266.4733887,297.68466,263.69812,332.64783
269.1650391,101.12223,286.965,443.8843
271.8566895,212.1746,249.08127,461.27728
274.5483398,444.01154,599.02136,999.9663
277.2399902,557.18744,545.67413,966.08887
279.9316406,644.3686,1184.2288,2817.001
282.6232910,703.9732,772.88513,1422.7535
285.3149414,522.7646,599.73346,841.22327
288.0065918,628.8049,524.1422,634.97943
290.6982422,628.1084,288.72894,628.1084
293.3898926,439.1971,286.74866,439.1971
296.0815430,377.30093,376.17963,425.37143
