Spectrum Analyzer Data File
2015-04-14 18:22:37

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,7.8165474E-5,2.4930516E-4,5.070378E-4
5.3833008,0.0011970336,0.003661621,0.007337842
8.0749512,0.005661286,0.01781888,0.03773958
10.7666016,0.016445635,0.04964667,0.097598314
13.4582520,0.03664933,0.1196962,0.27324647
16.1499023,0.06828329,0.20817262,0.46093184
18.8415527,0.11451342,0.33141005,0.65986425
21.5332031,0.1760552,0.4814227,0.958916
24.2248535,0.2571152,0.75478286,1.7077959
26.9165039,0.3573122,0.97361624,2.0087025
29.6081543,0.49208605,1.2597314,2.6363075
32.2998047,0.65527457,1.670485,3.6772916
34.9914551,0.7153962,2.1526198,4.778892
37.6831055,1.023979,2.5338073,5.6550817
40.3747559,1.2001809,2.5819201,4.3629966
43.0664062,1.6127661,3.362666,6.50516
45.7580566,1.9420648,3.964741,7.8162565
48.4497070,2.3889844,4.535176,8.524405
51.1413574,2.9943457,5.3618765,9.717184
53.8330078,3.5419464,5.770993,10.630005
56.5246582,4.176543,7.601576,13.26315
59.2163086,6.769816,6.910301,9.751123
61.9079590,8.1228,9.513915,13.654565
64.5996094,15.507662,12.671809,15.507662
67.2912598,12.072403,13.58268,22.01446
69.9829102,16.510622,14.679684,21.158041
72.6745605,15.161414,24.288557,57.65659
75.3662109,44.70904,25.23987,44.70904
78.0578613,22.329556,18.639263,31.911896
80.7495117,43.336987,34.481,55.443542
83.4411621,13.990342,50.54269,108.65269
86.1328125,27.611973,33.08671,53.354412
88.8244629,100.55185,60.66987,100.55185
91.5161133,25.702553,44.8909,82.91882
94.2077637,30.81049,99.694145,179.49696
96.8994141,46.64578,112.31729,210.94756
99.5910645,45.77305,84.75452,111.975685
102.2827148,70.008255,157.29355,340.58252
104.9743652,231.54852,167.686,231.54852
107.6660156,320.07614,184.26219,320.07614
110.3576660,62.738316,181.54848,427.10736
113.0493164,167.18143,152.066,233.47592
115.7409668,137.81883,206.22365,292.49677
118.4326172,289.16324,223.02356,420.02707
121.1242676,418.65237,266.75284,466.47293
123.8159180,177.94484,208.76344,754.0909
126.5075684,80.122375,369.5478,794.17523
129.1992188,237.40602,309.24634,510.34402
131.8908691,272.02716,339.81403,550.87866
134.5825195,117.07305,408.06445,1421.0278
137.2741699,302.56702,429.92316,1078.768
139.9658203,144.40205,297.81238,512.7888
142.6574707,101.51839,481.64963,1696.3988
145.3491211,215.13159,923.4788,3622.0227
148.0407715,294.91464,979.1801,3423.9722
150.7324219,213.38644,550.6447,769.03143
153.4240723,544.7631,329.5419,740.536
156.1157227,343.4645,459.24097,661.86273
158.8073730,631.78143,636.7251,931.30774
161.4990234,388.32214,547.78076,917.0143
164.1906738,386.26904,789.8253,2160.6985
166.8823242,177.278,426.645,973.2474
169.5739746,531.564,529.7144,894.44354
172.2656250,180.88576,301.09628,451.28006
174.9572754,906.3473,375.40982,906.3473
177.6489258,1024.1626,699.688,1024.1626
180.3405762,287.42575,599.84814,1341.6357
183.0322266,514.08765,333.1117,625.2173
185.7238770,429.1263,407.30603,658.1217
188.4155273,551.14557,479.83362,635.7004
191.1071777,289.61023,564.24866,1118.44
193.7988281,482.41934,576.74945,1099.1344
196.4904785,729.0975,447.34827,729.0975
199.1821289,486.79257,651.9719,1493.2516
201.8737793,682.66034,524.8759,1067.2037
204.5654297,230.66733,309.7795,464.05133
207.2570801,279.6905,437.1441,678.944
209.9487305,369.57455,443.15076,622.34924
212.6403809,408.8761,384.80115,622.7051
215.3320312,322.88998,401.9378,798.19507
218.0236816,334.78778,324.99002,449.85593
220.7153320,573.95953,583.0028,731.3175
223.4069824,193.70541,447.06583,932.3765
226.0986328,695.02313,345.44223,695.02313
228.7902832,232.26888,290.02783,563.90796
231.4819336,283.11035,331.73666,519.8143
234.1735840,144.73036,274.76126,570.9003
236.8652344,328.59793,411.4329,554.63605
239.5568848,339.36334,303.7956,565.25006
242.2485352,738.53827,530.2446,738.53827
244.9401855,676.0028,481.05408,676.0028
247.6318359,526.3205,529.3195,822.91864
250.3234863,99.26904,337.47772,505.06845
