Spectrum Analyzer Data File				
2015/4/14 18:25				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
0	0	0		
2.6916504	1.35E-04	2.06E-04		
5.3833008	0.002125027	0.003139705		
8.0749512	0.009637832	0.014730055		
10.7666016	0.027887415	0.04217269		
13.458252	0.05691921	0.09200442		
16.1499023	0.10262166	0.16879696		
18.8415527	0.18295462	0.2749372		
21.5332031	0.29061103	0.41182527		
24.2248535	0.4073266	0.5796266		
26.9165039	0.57658875	0.79506385		
29.6081543	0.7482052	1.0525223		
32.2998047	1.0171121	1.3482944		
34.9914551	1.3924332	1.9361427		
37.6831055	1.753936	2.7801387		
40.3747559	2.1127157	3.1101282		
43.0664062	2.3504786	3.4723322		
45.7580566	2.7045975	4.0799603		
48.449707	3.2271469	4.6371417		
51.1413574	3.912685	4.9312987		
53.8330078	3.8990343	5.8463492		
56.5246582	5.1803346	7.970532		
59.2163086	5.165062	12.469961		
61.907959	6.926473	9.139814		
64.5996094	15.706589	30.51816		
67.2912598	27.103458	43.256287		
69.9829102	14.713146	30.280325		
72.6745605	38.69359	58.60916		
75.3662109	38.76158	64.464554		
78.0578613	63.42456	100.812645		
80.7495117	29.82743	43.530685		
83.4411621	49.75813	123.51961		
86.1328125	76.97827	200.11798		
88.8244629	61.14707	86.29418		
91.5161133	55.522533	97.03997		
94.2077637	75.11254	182.1931		
96.8994141	72.907364	134.63947		
99.5910645	161.32063	405.40277		
102.2827148	138.8331	178.8065		
104.9743652	191.60286	401.2259		
107.6660156	267.5949	568.8341		
110.357666	210.73291	409.3872		
113.0493164	189.30478	341.66672		
115.7409668	163.86172	449.15164		
118.4326172	264.19547	519.27594		
121.1242676	209.01636	348.93903		
123.815918	292.20508	522.0973		
126.5075684	383.08353	780.881		
129.1992188	266.0014	381.04282		
131.8908691	253.117	345.39197		
134.5825195	297.0367	552.5436		
137.2741699	234.04396	329.08493		
139.9658203	258.91626	568.45984		
142.6574707	223.66368	391.911		
145.3491211	421.62338	810.2169		
148.0407715	342.78726	710.6176		
150.7324219	232.69133	382.3846		
153.4240723	419.43234	724.9547		
156.1157227	392.60617	492.2495		
158.807373	227.55849	520.94727		
161.4990234	328.29993	477.59326		
164.1906738	349.14417	480.7687		
166.8823242	353.7589	585.19415		
169.5739746	402.31253	624.4127		
172.265625	662.2668	1276.018		
174.9572754	406.41583	715.0622		
177.6489258	208.41992	349.87732		
180.3405762	320.4452	492.62943		
183.0322266	336.9514	614.27655		
185.723877	237.21289	519.40155		
188.4155273	623.46686	1853.4188		
191.1071777	301.20126	363.476		
193.7988281	402.17188	787.7318		
196.4904785	396.13754	594.0092		
199.1821289	243.71246	428.70847		
201.8737793	446.66858	753.1877		
204.5654297	784.2083	1383.0748		
207.2570801	576.96124	1438.3167		
209.9487305	605.63074	741.2526		
212.6403809	455.22812	970.757		
215.3320312	430.8977	687.3105		
218.0236816	245.28308	287.8519		
220.715332	249.98953	423.92184		
223.4069824	499.08817	905.551		
226.0986328	603.1293	1447.5267		
228.7902832	360.90237	758.4034		
231.4819336	516.574	1098.5011		
234.173584	435.5876	1009.32477		
236.8652344	220.64958	333.74677		
239.5568848	392.2386	921.3954		
242.2485352	259.5669	679.0871		
244.9401855	400.60727	924.59576		
247.6318359	746.90924	1361.7681		
250.3234863	619.7394	1432.0308		
253.0151367	479.39856	628.28076		
255.7067871	600.11505	1171.8674		
258.3984375	521.56836	823.677		
261.0900879	275.87125	363.6745		
263.7817383	486.43262	876.17914		
266.4733887	626.1027	1416.6478		
