Spectrum Analyzer Data File				
2015/4/14 18:23				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
928.6193848	762.9167	1167.7885		
931.3110352	461.58676	703.97974		
934.0026855	468.2796	633.8957		
936.6943359	465.27466	771.7164		
939.3859863	510.82977	781.1677		
942.0776367	454.9542	909.378		
944.7692871	426.6168	640.8512		
947.4609375	607.9366	916.744		
950.1525879	455.3319	989.80444		
952.8442383	586.20013	716.8613		
955.5358887	454.8874	603.11694		
958.2275391	424.67346	688.90796		
960.9191895	438.57352	795.52515		
963.6108398	578.48083	962.22327		
966.3024902	546.861	1261.1688		
968.9941406	697.77344	1222.0782		
971.685791	294.73926	464.20325		
974.3774414	544.99774	957.0698		
977.0690918	578.69446	1094.5798		
979.7607422	576.7039	963.9831		
982.4523926	597.32263	722.9274		
985.144043	497.0704	884.9358		
987.8356934	557.876	813.1656		
990.5273438	635.4603	1656.5646		
993.2189941	536.6612	776.3932		
995.9106445	419.82428	770.59155		
998.6022949	341.45053	446.05978		
1001.293945	621.9407	751.5384		
1003.985596	548.8298	808.1442		
1006.677246	430.4549	624.6889		
1009.368897	611.00903	1234.3336		
1012.060547	566.6594	858.85175		
1014.752197	526.8915	907.1362		
1017.443848	371.57578	635.65564		
1020.135498	641.3375	921.97296		
1022.827148	311.45154	429.1816		
1025.518799	655.5306	863.3974		
1028.210449	592.8583	1306.7297		
1030.9021	482.39337	948.21576		
1033.59375	485.8875	735.27203		
1036.2854	589.46655	873.39233		
1038.977051	312.31607	541.8542		
1041.668701	423.2782	710.9158		
1044.360352	222.98447	375.0205		
1047.052002	524.5661	974.2123		
1049.743652	383.75366	418.11334		
1052.435303	282.26913	440.21417		
1055.126953	613.6157	1240.0138		
1057.818604	243.93982	499.05188		
1060.510254	400.40344	558.20624		
1063.201904	399.65045	872.2865		
1065.893555	384.66037	623.19904		
1068.585205	524.60266	588.5085		
1071.276856	553.1618	718.9758		
1073.968506	438.36777	725.0927		
1076.660156	235.92801	435.85565		
1079.351807	590.3918	1218.4392		
1082.043457	423.1799	533.3519		
1084.735107	454.85156	763.7349		
1087.426758	481.2467	627.9469		
1090.118408	281.418	528.4892		
1092.810059	466.74078	589.40295		
1095.501709	327.20914	550.7649		
1098.193359	444.35287	666.5464		
