Spectrum Analyzer Data File
2015-04-14 18:17:36

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,5.098044E-4,2.2313805E-4,5.098044E-4
5.3833008,0.00908583,0.0037346708,0.00908583
8.0749512,0.041617677,0.017344903,0.041617677
10.7666016,0.10891916,0.047157846,0.10891916
13.4582520,0.30392733,0.118619926,0.30392733
16.1499023,0.33026713,0.15988532,0.33026713
18.8415527,0.7642277,0.3176008,0.7642277
21.5332031,1.240297,0.50080216,1.240297
24.2248535,3.0125496,1.0233119,3.0125496
26.9165039,1.5048367,0.73908806,1.5048367
29.6081543,3.2592297,1.2900528,3.2592297
32.2998047,2.9071963,1.3185892,2.9071963
34.9914551,4.9424047,1.9456795,4.9424047
37.6831055,3.5650132,1.756481,3.5650132
40.3747559,4.57661,2.1959531,4.57661
43.0664062,6.304264,2.789865,6.304264
45.7580566,6.9325576,3.1506457,6.9325576
48.4497070,13.174027,4.922906,13.174027
51.1413574,9.144082,4.1018486,9.144082
53.8330078,12.143696,5.1851163,12.143696
56.5246582,16.101936,6.5774417,16.101936
59.2163086,11.086219,5.375433,11.086219
61.9079590,17.296688,7.2475467,17.296688
64.5996094,6.918604,4.398223,7.017336
67.2912598,21.427017,8.958351,21.427017
69.9829102,23.154959,15.486043,23.154959
72.6745605,18.07045,12.602964,18.07045
75.3662109,12.939411,8.425635,12.939411
78.0578613,49.99054,21.030794,49.99054
80.7495117,27.254395,26.846943,34.290962
83.4411621,50.3245,25.03807,50.3245
86.1328125,9.402736,17.162258,30.900082
88.8244629,38.60844,34.971867,38.60844
91.5161133,60.0632,65.01629,106.28346
94.2077637,102.19208,91.71927,224.98738
96.8994141,292.796,204.34639,379.47363
99.5910645,185.92502,130.92137,237.93323
102.2827148,146.74217,85.39535,146.74217
104.9743652,70.128555,45.326668,70.128555
107.6660156,106.85364,61.00183,106.85364
110.3576660,89.42522,49.992077,89.42522
113.0493164,85.71539,49.88078,85.71539
115.7409668,184.53267,74.34938,184.53267
118.4326172,79.33638,72.94649,118.181046
121.1242676,275.8759,160.65051,275.8759
123.8159180,253.18204,126.03357,253.18204
126.5075684,255.4071,140.83961,255.4071
129.1992188,143.1466,86.53024,143.1466
131.8908691,134.27188,113.21922,225.08585
134.5825195,60.321,118.19508,189.76602
137.2741699,287.38135,123.77793,287.38135
139.9658203,488.50085,146.7595,488.50085
142.6574707,389.02963,273.52496,389.02963
145.3491211,1432.9584,457.42868,1432.9584
148.0407715,708.4332,289.96417,708.4332
150.7324219,330.94226,279.48984,340.4775
153.4240723,156.30359,214.3001,283.16544
156.1157227,169.40672,155.74057,327.75262
158.8073730,135.14696,285.84738,652.46246
161.4990234,549.2781,320.56345,549.2781
164.1906738,383.11844,225.55992,383.11844
166.8823242,73.62428,189.09169,295.31958
169.5739746,195.48697,146.78885,195.48697
172.2656250,482.05673,321.02646,482.05673
174.9572754,293.7171,208.89992,344.9984
177.6489258,214.65503,149.89679,214.65503
180.3405762,583.80664,229.45561,583.80664
183.0322266,306.83994,165.22205,306.83994
185.7238770,544.77594,362.76776,544.77594
188.4155273,332.93356,266.42334,393.7549
191.1071777,769.6781,443.97134,769.6781
193.7988281,2536.9207,961.8411,2536.9207
196.4904785,2144.0522,895.7725,2144.0522
199.1821289,1382.9978,659.9428,1382.9978
201.8737793,256.26996,279.36545,394.59473
204.5654297,1027.4081,360.13727,1027.4081
207.2570801,371.55347,217.8094,371.55347
209.9487305,575.71173,374.16782,575.71173
212.6403809,364.17126,287.72513,364.17126
215.3320312,501.70972,352.0732,503.03903
218.0236816,514.6832,239.98723,514.6832
220.7153320,765.0309,302.60364,765.0309
223.4069824,664.6023,615.7588,972.1794
226.0986328,905.6614,585.0092,912.9591
228.7902832,890.891,386.367,890.891
231.4819336,836.517,635.08685,854.9488
234.1735840,1396.2745,745.9948,1396.2745
236.8652344,1488.6619,767.2426,1488.6619
239.5568848,1612.7692,816.8733,1612.7692
242.2485352,5589.556,2179.0298,5589.556
244.9401855,5217.8765,2283.2485,5217.8765
247.6318359,1867.4912,1200.8298,1867.4912
250.3234863,418.079,470.63916,1028.4835
253.0151367,675.6292,410.88324,675.6292
255.7067871,629.49866,464.99982,629.49866
258.3984375,272.59943,297.57962,422.0095
261.0900879,290.05533,439.05997,936.8767
263.7817383,763.6355,731.2385,923.41364
266.4733887,42.01458,407.28592,668.4034
269.1650391,1002.82855,637.50476,1006.5359
271.8566895,1064.6938,717.3103,1064.6938
274.5483398,1505.3605,691.9327,1505.3605
277.2399902,1345.0759,850.46954,1345.0759
279.9316406,2098.06,1133.1733,2098.06
282.6232910,2217.9146,1262.5394,2217.9146
285.3149414,501.8439,683.0652,1342.7474
288.0065918,2273.0183,907.75903,2273.0183
290.6982422,6418.6616,2438.973,6418.6616
293.3898926,9047.693,3151.1296,9047.693
296.0815430,3408.3992,1683.2886,3408.3992
298.7731934,1272.3391,593.32574,1272.3391
301.4648438,1713.6554,839.30206,1713.6554
304.1564941,780.7294,562.54333,780.7294
306.8481445,565.00134,379.14233,565.00134
309.5397949,1408.543,631.02026,1408.543
312.2314453,528.13666,408.45105,528.13666
314.9230957,758.27637,389.68558,758.27637
317.6147461,780.60754,623.4529,904.5163
320.3063965,178.38542,485.63547,660.4264
322.9980469,955.9558,560.71533,955.9558
325.6896973,403.79953,363.33258,403.79953
328.3813477,2143.5376,778.29675,2143.5376
331.0729980,2603.8354,1470.5946,2603.8354
333.7646484,2527.6016,1147.1676,2527.6016
336.4562988,3859.0403,1654.9706,3859.0403
339.1479492,10887.457,3406.4387,10887.457
341.8395996,13160.144,3863.3047,13160.144
344.5312500,4411.614,2479.7385,4411.614
347.2229004,2582.5024,1226.3257,2582.5024
349.9145508,959.21655,962.0393,1176.0623
352.6062012,1956.3424,930.20355,1956.3424
355.2978516,1849.4889,707.29816,1849.4889
357.9895020,1020.2567,511.50833,1020.2567
360.6811523,818.5016,787.9393,1121.5173
363.3728027,1038.197,783.11926,1203.8945
366.0644531,1540.6422,803.6783,1540.6422
368.7561035,1021.40656,792.76154,1021.40656
371.4477539,1996.8312,869.07196,1996.8312
374.1394043,1386.7876,903.8705,1386.7876
376.8310547,101.185905,612.8543,1671.6825
379.5227051,268.80566,447.41742,652.8479
382.2143555,1392.6554,726.476,1392.6554
384.9060059,1594.5536,1173.7104,1980.4265
387.5976562,3602.691,1412.2058,3602.691
390.2893066,6559.009,1992.3127,6559.009
392.9809570,2712.1462,1647.9688,2712.1462
395.6726074,1833.6375,957.047,1833.6375
398.3642578,1055.7175,1006.369,1841.662
401.0559082,596.18335,662.44543,914.38153
403.7475586,2184.3035,926.9689,2184.3035
406.4392090,424.27374,394.32953,577.3352
409.1308594,1463.7192,786.5559,1463.7192
411.8225098,1079.1348,571.7331,1079.1348
414.5141602,440.42075,420.9326,601.42505
417.2058105,1014.1942,745.6262,1042.5426
419.8974609,1092.6804,550.80237,1092.6804
422.5891113,1738.3705,924.616,1738.3705
425.2807617,1545.4418,1000.8296,1545.4418
427.9724121,291.42798,339.95993,517.02576
430.6640625,907.8518,429.6174,907.8518
433.3557129,1876.4414,882.7645,1876.4414
436.0473633,1473.8926,942.4674,1473.8926
438.7390137,2760.2373,941.6685,2760.2373
441.4306641,2106.6624,983.8734,2106.6624
444.1223145,991.5696,627.8746,991.5696
446.8139648,1874.356,796.10815,1874.356
449.5056152,1271.2098,718.14014,1271.2098
452.1972656,693.0686,544.2974,693.0686
454.8889160,292.87943,540.5478,870.01636
457.5805664,1276.1417,771.58215,1276.1417
460.2722168,823.0973,405.0751,823.0973
462.9638672,747.81213,397.49176,747.81213
465.6555176,915.93677,491.13763,915.93677
468.3471680,800.7213,561.36414,800.7213
471.0388184,1257.7998,581.5095,1257.7998
473.7304688,849.275,449.11124,849.275
476.4221191,447.31555,436.06592,754.23895
479.1137695,486.447,672.97614,1190.6996
481.8054199,846.7065,535.61273,846.7065
484.4970703,111.79267,575.05804,932.7715
487.1887207,952.3995,770.8914,1040.7842
489.8803711,273.30157,753.023,1215.6802
492.5720215,954.30554,1137.3091,2110.45
495.2636719,1314.2196,942.5067,1373.9789
497.9553223,617.11774,604.05383,1011.53186
500.6469727,1163.0046,670.53174,1163.0046
503.3386230,741.3276,626.4387,741.3276
506.0302734,393.14633,628.18243,916.00867
508.7219238,382.5932,444.94302,748.2483
511.4135742,972.44135,712.11945,972.44135
514.1052246,278.82013,266.1594,452.34888
516.7968750,652.0537,569.1989,988.31647
519.4885254,1075.2667,480.5628,1075.2667
522.1801758,303.324,342.28207,433.05453
524.8718262,157.28558,444.6583,679.01843
527.5634766,6.0074635,526.8213,976.6581
530.2551270,673.8366,657.39246,1176.3158
532.9467773,487.2293,677.3734,1276.7203
535.6384277,664.3994,603.7718,967.3836
538.3300781,1042.6772,635.7593,1042.6772
541.0217285,278.87067,747.89795,1642.5764
543.7133789,239.38295,519.66315,791.5125
546.4050293,366.16663,322.92438,379.70908
549.0966797,324.3652,368.04578,426.74368
551.7883301,93.1149,361.33292,610.44116
554.4799805,580.3728,325.37665,580.3728
557.1716309,392.69763,436.03305,456.3855
559.8632812,537.0678,261.78156,537.0678
562.5549316,181.06392,477.39273,726.24884
565.2465820,454.59225,428.10452,796.0367
567.9382324,117.85494,373.8257,906.8923
570.6298828,956.4056,492.51782,956.4056
573.3215332,492.6861,535.309,616.47797
576.0131836,875.85,566.5048,875.85
578.7048340,604.4189,659.2459,1086.4012
581.3964844,1054.1515,586.6497,1054.1515
584.0881348,369.99564,487.74228,655.04724
586.7797852,849.59753,754.25366,896.4977
589.4714355,460.6908,479.71655,728.758
592.1630859,513.07544,488.97742,612.20074
594.8547363,525.4587,385.46988,525.4587
597.5463867,356.09293,278.264,367.5741
600.2380371,313.04877,304.9554,370.97864
602.9296875,433.03287,486.48892,1107.8878
605.6213379,702.13116,551.7739,702.13116
608.3129883,695.6259,620.37463,960.32654
611.0046387,313.27295,365.07483,562.4806
613.6962891,603.67804,627.7228,690.7175
616.3879395,528.41797,443.65646,835.2613
619.0795898,563.70245,473.41476,563.70245
621.7712402,120.96827,279.0919,707.9575
624.4628906,200.04536,430.67023,1042.0178
627.1545410,81.78377,312.44052,504.94464
629.8461914,1232.6234,706.901,1232.6234
632.5378418,947.873,482.40457,947.873
635.2294922,949.96765,459.94693,949.96765
637.9211426,175.72481,314.06277,448.05255
640.6127930,628.1446,453.4544,628.1446
643.3044434,306.57874,631.70233,1097.8445
645.9960938,337.4339,386.33105,857.1683
648.6877441,644.1333,590.53296,922.57513
651.3793945,1261.3547,652.4555,1261.3547
654.0710449,569.72217,463.50067,575.52484
656.7626953,412.16446,558.55164,842.5693
659.4543457,895.34717,521.9216,895.34717
662.1459961,464.1047,299.65533,478.87805
664.8376465,391.36084,395.12552,568.4114
667.5292969,300.02017,371.2576,660.7755
670.2209473,194.2971,444.35202,645.194
672.9125977,1564.9055,511.62302,1564.9055
675.6042480,528.67883,492.96915,704.40186
678.2958984,570.9054,327.22272,570.9054
680.9875488,1463.1107,536.1501,1463.1107
683.6791992,1709.3202,721.71564,1709.3202
686.3708496,1038.1168,434.1303,1038.1168
689.0625000,755.6168,606.54785,755.6168
691.7541504,913.45996,657.16907,913.45996
694.4458008,1114.8086,549.4141,1114.8086
697.1374512,1537.754,898.4369,1537.754
699.8291016,1062.8098,552.1975,1062.8098
702.5207520,21.382723,297.8994,563.0174
705.2124023,203.18344,379.5322,560.3875
707.9040527,1559.8309,604.84766,1559.8309
710.5957031,2989.647,1088.8999,2989.647
713.2873535,820.2206,619.3827,820.2206
715.9790039,679.7759,402.1438,679.7759
718.6706543,1593.0768,836.4475,1593.0768
721.3623047,905.0662,644.31244,905.0662
724.0539551,673.5828,500.6674,729.25824
726.7456055,1090.4036,603.0658,1090.4036
729.4372559,2214.1565,968.28766,2214.1565
732.1289062,1218.8716,718.18243,1218.8716
734.8205566,1582.466,715.8413,1582.466
737.5122070,477.4225,618.36,1390.5266
