Spectrum Analyzer Data File
2015-04-14 18:20:17

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,6.415408E-4,3.283547E-4,6.415408E-4
5.3833008,0.009843346,0.005010942,0.009843346
8.0749512,0.03939969,0.024078159,0.03939969
10.7666016,0.075497046,0.06406117,0.08928347
13.4582520,0.14426692,0.12578338,0.14426692
16.1499023,0.4276311,0.2779781,0.4276311
18.8415527,0.9289951,0.4341296,0.9289951
21.5332031,1.5546348,0.71784925,1.5546348
24.2248535,2.343045,1.0802675,2.343045
26.9165039,3.3089056,1.4943058,3.3089056
29.6081543,4.145556,1.9151278,4.145556
32.2998047,4.317351,2.0716336,4.317351
34.9914551,4.947647,2.730409,4.947647
37.6831055,7.115927,3.2586837,7.115927
40.3747559,9.59599,4.217115,9.59599
43.0664062,8.931901,3.7305143,8.931901
45.7580566,4.894348,2.8383443,4.894348
48.4497070,2.5066292,3.7099528,4.92235
51.1413574,9.319882,5.326243,9.319882
53.8330078,15.067865,8.837452,15.067865
56.5246582,19.236464,11.859362,19.236464
59.2163086,30.203424,15.532749,30.203424
61.9079590,35.86621,18.435719,35.86621
64.5996094,27.449331,16.080935,27.449331
67.2912598,19.24955,17.048704,19.24955
69.9829102,35.21738,40.850857,73.8291
72.6745605,39.94001,61.87224,128.54819
75.3662109,124.21031,76.440254,124.21031
78.0578613,107.857,88.514084,141.08162
80.7495117,115.78171,104.89694,138.67996
83.4411621,239.00954,163.04028,239.00954
86.1328125,5.1347876,70.03632,144.2721
88.8244629,128.45198,175.14067,256.20496
91.5161133,63.93422,118.794754,222.72932
94.2077637,46.292732,162.98334,274.74142
96.8994141,158.2868,248.53769,592.636
99.5910645,176.27852,174.77429,273.89395
102.2827148,157.82634,202.2718,292.0806
104.9743652,396.237,243.02054,396.237
107.6660156,395.76175,223.64699,395.76175
110.3576660,680.0704,390.2745,680.0704
113.0493164,650.21106,310.94827,650.21106
115.7409668,472.47714,342.75677,472.47714
118.4326172,307.63562,221.2821,307.63562
121.1242676,358.6314,337.85315,559.0506
123.8159180,849.3888,501.20908,849.3888
126.5075684,560.82697,274.56427,560.82697
129.1992188,702.69073,551.73267,745.6443
131.8908691,106.33219,267.10303,507.23764
134.5825195,171.56041,522.17114,1421.2052
137.2741699,116.59255,358.66098,581.52606
139.9658203,180.50299,307.11554,744.7484
142.6574707,408.56018,386.01517,408.56018
145.3491211,733.3786,408.9809,733.3786
148.0407715,411.7767,574.32605,968.15607
150.7324219,647.7525,637.4054,1128.3096
153.4240723,528.4973,645.22833,755.31
156.1157227,581.61383,380.66263,689.2217
158.8073730,548.43256,569.073,1495.2021
161.4990234,783.63275,734.21924,828.81335
164.1906738,540.6654,566.9073,1090.5746
166.8823242,859.1258,659.90076,1245.8745
169.5739746,751.3902,620.9129,916.0295
172.2656250,420.412,662.7154,1556.9232
174.9572754,335.06967,692.8945,1337.1093
177.6489258,363.24734,938.2591,1671.5869
180.3405762,552.8281,576.0448,698.25494
183.0322266,567.05304,495.6812,606.4435
185.7238770,284.93985,535.37354,912.856
188.4155273,803.35004,813.9439,1091.388
191.1071777,881.75446,789.2892,1077.6577
193.7988281,610.2182,553.8103,774.7012
196.4904785,291.27182,729.88385,1416.7567
199.1821289,900.9833,670.99615,1153.1323
201.8737793,639.86395,751.38104,1253.4174
204.5654297,846.7224,965.01715,1479.4565
207.2570801,1326.7408,1166.6433,2005.2753
209.9487305,1130.2467,683.9352,1130.2467
212.6403809,1341.0499,1042.1547,1341.0499
215.3320312,1214.381,1118.6976,1956.0093
218.0236816,1397.0406,1782.6237,3161.5337
220.7153320,1209.4996,1099.0604,1713.6157
223.4069824,791.49207,713.60175,1328.5591
226.0986328,668.3162,743.5586,1033.7235
228.7902832,83.30399,386.0514,956.6686
231.4819336,556.0635,767.938,1511.407
234.1735840,668.7154,1579.0912,2565.7524
236.8652344,750.2069,969.82495,2009.4728
239.5568848,978.0612,1231.1185,2363.286
242.2485352,835.7659,679.8122,1022.72125
244.9401855,2233.4463,1413.5148,2255.1187
247.6318359,1956.6595,1156.6685,1956.6595
250.3234863,1590.4166,1018.5526,1590.4166
253.0151367,1481.9073,793.33795,1481.9073
255.7067871,1111.703,1038.9508,2223.6296
258.3984375,131.29637,693.4151,1450.8737
261.0900879,557.9861,723.91077,1479.0249
263.7817383,777.56885,801.27686,1235.3163
266.4733887,1726.7241,1782.5396,3322.1892
269.1650391,1533.4501,1003.3076,1779.3145
271.8566895,2164.1736,1299.077,2164.1736
274.5483398,1536.72,1070.9042,1573.4984
277.2399902,634.8322,1001.0976,2267.4194
279.9316406,262.62073,648.85095,1109.1956
282.6232910,428.6425,1085.0033,1958.3611
285.3149414,574.4424,1008.1083,2142.6719
288.0065918,592.2851,1143.4026,2817.791
290.6982422,447.90668,704.9838,1402.8196
293.3898926,801.7649,510.76718,801.7649
296.0815430,145.06047,914.30444,1591.0659
298.7731934,446.46237,1181.6254,2885.9294
301.4648438,585.9422,600.53876,770.88336
304.1564941,211.3941,1225.4911,2831.7666
306.8481445,678.95764,645.8142,790.9778
309.5397949,1188.159,908.99493,1188.159
312.2314453,983.635,873.10016,1511.0371
314.9230957,693.41943,1282.8237,2655.7686
317.6147461,1151.2736,1018.41907,1746.148
320.3063965,1981.0021,1328.0481,1981.0021
322.9980469,1431.0844,1054.2583,1537.0488
325.6896973,1190.0709,610.7771,1190.0709
328.3813477,1155.4144,1093.7992,1582.6941
331.0729980,2057.9927,853.2685,2057.9927
333.7646484,1226.9695,744.8133,1226.9695
336.4562988,685.1377,850.008,1775.347
339.1479492,1169.8512,1146.7388,1754.5056
341.8395996,630.7354,1184.988,2237.292
344.5312500,1638.6112,1367.6785,1696.6389
347.2229004,1434.6841,1100.699,1659.6978
349.9145508,1390.5177,1142.6005,1620.5437
352.6062012,1910.5594,1343.271,2554.3826
355.2978516,1640.6095,1060.4268,1640.6095
357.9895020,1740.8971,1126.7449,1740.8971
360.6811523,867.04803,825.63385,948.9689
363.3728027,2042.011,1159.6378,2042.011
366.0644531,1326.4716,1083.5059,1438.5929
368.7561035,1517.3748,998.6865,1517.3748
371.4477539,1512.42,1233.9989,1667.5603
374.1394043,1331.6277,1266.6217,2248.928
376.8310547,1507.2919,1046.8761,1715.4246
379.5227051,608.4854,763.08844,1245.2893
382.2143555,1143.6052,769.257,1143.6052
384.9060059,289.50067,549.1542,1118.1637
387.5976562,421.28555,1503.6339,3596.851
390.2893066,547.7439,777.0064,1946.2386
392.9809570,856.38184,672.33264,856.38184
395.6726074,697.29944,742.8387,1201.7472
398.3642578,409.82532,919.1466,1552.464
401.0559082,453.15173,1286.6425,2403.8599
403.7475586,1107.6959,1071.9188,2098.143
406.4392090,990.11383,832.5455,1692.6963
409.1308594,780.9718,507.30542,780.9718
411.8225098,639.3671,990.1764,2223.4465
414.5141602,1166.3125,877.8623,1514.538
417.2058105,967.274,1040.7635,1915.6809
419.8974609,588.2031,1048.3901,2575.1533
422.5891113,230.20122,609.79803,1237.2205
425.2807617,650.3962,681.43005,1010.5334
427.9724121,1365.9042,1181.4481,2110.1184
430.6640625,1002.58826,898.05444,1596.9713
433.3557129,522.96173,1132.9011,2183.6445
436.0473633,845.45624,1296.8739,2264.3252
438.7390137,773.84106,960.3045,1221.7124
441.4306641,979.1051,750.5428,1190.2142
444.1223145,806.8386,900.6198,2149.9243
446.8139648,1062.0426,904.4212,1361.8325
449.5056152,1025.0253,1204.0548,2228.1394
452.1972656,1172.4231,726.4904,1172.4231
454.8889160,603.8623,753.7431,1117.2642
457.5805664,611.92926,695.68585,1202.9586
460.2722168,937.4183,880.37854,1434.2202
462.9638672,873.8549,830.6394,1182.1284
465.6555176,725.08813,988.5814,2111.9514
468.3471680,328.20645,795.45935,1586.4277
471.0388184,243.09187,481.46252,977.92285
473.7304688,897.96576,1102.6168,1813.623
476.4221191,617.25116,476.2535,617.25116
479.1137695,793.08844,919.0634,1698.3857
481.8054199,1306.0823,1263.8325,2137.1174
484.4970703,972.4492,721.01355,1185.1213
487.1887207,1425.474,1076.4408,1425.6849
489.8803711,1482.1595,1164.494,1511.6954
492.5720215,1307.3425,647.1542,1307.3425
