2015/4/14 18:24				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
0	0	0		
2.6916504	6.85E-05	8.24E-05		
5.3833008	0.001039867	0.001255135		
8.0749512	0.004873558	0.005890852		
10.7666016	0.014088251	0.016989766		
13.458252	0.03059654	0.036812752		
16.1499023	0.056323405	0.06753218		
18.8415527	0.091592416	0.110034734		
21.5332031	0.13769795	0.16474235		
24.2248535	0.19544697	0.23124102		
26.9165039	0.26334527	0.31226394		
29.6081543	0.3420364	0.41263717		
32.2998047	0.43548396	0.5356434		
34.9914551	0.5349801	0.6214079		
37.6831055	0.65646994	0.74181265		
40.3747559	0.7978962	0.90077305		
43.0664062	0.93320817	1.0525321		
45.7580566	1.1144627	1.226107		
48.449707	1.3053409	1.4527179		
51.1413574	1.5344156	1.7476792		
53.8330078	1.912246	2.1218324		
56.5246582	2.724215	3.2853196		
59.2163086	1.5872402	2.4330716		
61.907959	2.3597903	2.4141603		
64.5996094	4.968782	7.3854523		
67.2912598	3.735116	9.336592		
69.9829102	12.680267	23.5762		
72.6745605	10.621211	12.159184		
75.3662109	11.404802	21.708038		
78.0578613	23.971352	43.66248		
80.7495117	20.382053	25.84192		
83.4411621	10.857063	18.45878		
86.1328125	12.500705	20.03126		
88.8244629	17.223066	26.530848		
91.5161133	8.64567	10.656657		
94.2077637	15.503593	25.002825		
96.8994141	34.870525	36.895264		
99.5910645	23.54575	46.32114		
102.2827148	34.35665	62.538715		
104.9743652	28.25134	45.070896		
107.6660156	41.551624	68.27301		
110.357666	40.96411	53.289738		
113.0493164	31.742956	45.380177		
115.7409668	79.0927	126.985794		
118.4326172	56.43089	66.85123		
121.1242676	34.032368	43.005634		
123.815918	46.536343	67.78659		
126.5075684	73.417366	105.614075		
129.1992188	7.3194003	16.753433		
131.8908691	67.479065	96.78219		
134.5825195	30.167625	45.03223		
137.2741699	30.340271	48.331272		
139.9658203	37.51473	60.01584		
142.6574707	113.99255	231.09952		
145.3491211	64.01559	91.125565		
148.0407715	109.06834	196.31718		
150.7324219	50.431915	75.83668		
153.4240723	125.57752	167.07935		
156.1157227	69.23769	111.63143		
158.807373	97.7719	112.32		
161.4990234	85.5938	123.66845		
164.1906738	105.568214	208.09612		
166.8823242	64.940895	80.78259		
169.5739746	71.23756	84.04836		
172.265625	71.76203	132.01988		
174.9572754	87.2768	105.66885		
177.6489258	91.191345	116.79624		
180.3405762	115.24188	161.02252		
183.0322266	128.93044	166.07652		
185.723877	87.41094	114.25773		
188.4155273	130.5588	172.28915		
191.1071777	94.82161	136.07278		
193.7988281	121.86572	150.0069		
196.4904785	78.2326	164.19118		
199.1821289	219.9995	254.28009		
201.8737793	120.45867	220.21092		
204.5654297	175.65155	294.10098		
207.2570801	183.25056	250.51836		
209.9487305	132.0544	174.66924		
212.6403809	143.60478	248.39787		
215.3320312	123.62686	226.78189		
218.0236816	83.443	132.16437		
220.715332	84.639496	136.1255		
223.4069824	255.31277	503.33826		
226.0986328	242.34073	360.36926		
228.7902832	226.81181	349.44815		
231.4819336	337.2301	707.0265		
234.173584	168.42227	247.89435		
236.8652344	115.96557	133.36533		
239.5568848	130.82886	266.93344		
242.2485352	221.99277	259.3467		
244.9401855	208.62651	287.01624		
247.6318359	99.42798	172.68451		
250.3234863	96.06675	166.17378		
253.0151367	152.69014	188.61191		
255.7067871	200.66159	291.0819		
258.3984375	142.72572	173.5606		
261.0900879	210.52928	303.57938		
263.7817383	149.29472	191.43839		
266.4733887	265.96063	368.42743		
269.1650391	559.01434	852.61316		
271.8566895	114.40493	276.29446		
274.5483398	173.59212	282.85068		
277.2399902	161.36581	320.45746		
279.9316406	178.69879	263.89926		
282.623291	243.87404	306.60825		
285.3149414	195.8422	273.63614		
288.0065918	220.80014	285.932		
290.6982422	226.3634	304.33286		
293.3898926	240.99031	478.18134		
296.081543	108.31599	154.5206		
298.7731934	337.80106	528.61194		
301.4648438	219.34676	356.9981		
304.1564941	203.1843	251.86836		
306.8481445	450.10184	910.7681		
309.5397949	322.94382	722.16626		
312.2314453	159.60707	222.7929		
314.9230957	278.55807	444.3945		
317.6147461	253.95511	385.89188		
320.3063965	227.39128	349.3312		
322.9980469	264.70584	280.58725		
325.6896973	228.98224	313.08615		
328.3813477	311.0029	431.12772		
331.072998	334.576	397.02145		
333.7646484	195.97377	307.747		
336.4562988	244.6588	275.19357		
339.1479492	363.71698	692.5094		
341.8395996	237.76869	323.16943		
344.53125	217.6701	367.11765		
347.2229004	622.5264	1304.5984		
349.9145508	379.57285	617.75793		
352.6062012	272.0185	517.1352		
355.2978516	305.09235	556.235		
357.989502	101.83574	141.07549		
360.6811523	145.31247	288.21008		
363.3728027	173.76491	259.61484		
366.0644531	353.92767	547.66724		
368.7561035	349.02963	609.49634		
371.4477539	396.50772	492.94278		
374.1394043	322.43704	350.94366		
376.8310547	529.2179	589.8846		
379.5227051	180.31938	249.94414		
382.2143555	407.7089	758.1148		
384.9060059	444.5044	823.0873		
387.5976562	486.61072	1023.31995		
390.2893066	501.41696	568.34955		
392.980957	239.87581	373.527		
395.6726074	303.61362	425.96512		
398.3642578	326.46112	503.10434		
401.0559082	132.63095	267.67245		
403.7475586	462.9701	871.3906		
406.439209	497.98514	647.5413		
409.1308594	363.31854	612.52216		
411.8225098	319.3681	631.71924		
414.5141602	259.09155	420.51895		
417.2058105	294.47998	466.45895		
419.8974609	254.291	312.91568		
422.5891113	473.13733	770.6711		
425.2807617	309.16922	415.16867		
427.9724121	416.46793	646.5791		
430.6640625	407.97852	564.60864		
433.3557129	290.81442	557.69867		
436.0473633	340.01065	428.31207		
438.7390137	272.5329	315.5299		
441.4306641	305.89984	356.2501		
444.1223145	373.698	410.13217		
446.8139648	408.212	619.16785		
449.5056152	474.0725	791.1295		
452.1972656	507.73422	760.6384		
454.888916	235.46364	360.5643		
457.5805664	395.00946	435.00476		
460.2722168	264.7742	386.91202		
462.9638672	326.07712	639.35077		
465.6555176	261.0779	396.3149		
468.347168	513.8647	784.25824		
471.0388184	334.00528	418.6558		
473.7304688	360.7002	596.0859		
476.4221191	268.93027	321.59802		
479.1137695	446.71732	656.8118		
