Spectrum Analyzer Data File
2015-04-14 18:17:02

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,1.2674116E-4,1.7368938E-4,2.465738E-4
5.3833008,0.0019216156,0.0026287406,0.003703086
8.0749512,0.009013864,0.012368673,0.017488299
10.7666016,0.02594005,0.03562625,0.050573234
13.4582520,0.055974588,0.07740272,0.109520674
16.1499023,0.1024153,0.14236607,0.20138907
18.8415527,0.166752,0.23089613,0.3229166
21.5332031,0.24815673,0.3473091,0.48802492
24.2248535,0.34832427,0.49249533,0.6979364
26.9165039,0.46331486,0.66133726,0.9339074
29.6081543,0.60011625,0.84905094,1.1881155
32.2998047,0.7335175,1.0591298,1.4889351
34.9914551,0.89747345,1.3328079,1.8632498
37.6831055,1.0656518,1.6149187,2.2893343
40.3747559,1.4076486,1.9159569,2.7203524
43.0664062,1.537989,2.3032122,3.2375114
45.7580566,1.7650073,2.6621933,3.7934892
48.4497070,2.0105176,3.1118827,4.420364
51.1413574,2.3614087,3.6061018,5.18597
53.8330078,2.759035,4.445412,7.186969
56.5246582,3.3602977,3.6718378,7.3615727
59.2163086,2.927628,5.665633,8.390935
61.9079590,2.6962671,8.230292,12.968368
64.5996094,4.9036393,10.461513,15.014442
67.2912598,5.6810203,7.858232,14.224762
69.9829102,7.5076513,16.023668,24.657953
72.6745605,21.15966,23.816975,34.310513
75.3662109,16.9447,11.002363,16.9447
78.0578613,9.310444,10.92095,13.373772
80.7495117,29.732565,26.68992,40.14973
83.4411621,14.246872,66.69187,170.8537
86.1328125,25.105583,32.36659,40.8625
88.8244629,15.967646,34.593548,57.548046
91.5161133,91.79515,48.91691,91.79515
94.2077637,76.9135,79.87865,118.78827
96.8994141,6.608855,60.29306,96.187584
99.5910645,82.52211,71.82858,132.76778
102.2827148,4.304529,28.590391,50.548347
104.9743652,85.88675,56.34894,85.88675
107.6660156,17.40555,115.314316,178.89331
110.3576660,70.61609,191.90633,598.3262
113.0493164,45.393257,94.167145,228.85866
115.7409668,71.55113,104.390564,162.14836
118.4326172,50.927,161.46931,225.96117
121.1242676,42.068726,104.53449,141.30602
123.8159180,77.05188,144.67923,256.26428
126.5075684,18.29336,130.5169,220.68416
129.1992188,76.93993,150.65315,243.2275
131.8908691,67.157555,78.73693,182.14586
134.5825195,31.930817,144.51262,326.60364
137.2741699,109.49049,266.30936,829.0354
139.9658203,143.44218,171.18286,378.61716
