Spectrum Analyzer Data File				
2015/4/14 18:23				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
0	0	0		
2.6916504	9.73E-05	1.83E-04		
5.3833008	0.001499882	0.002796519		
8.0749512	0.007110965	0.01312719		
10.7666016	0.02058578	0.03761196		
13.458252	0.0452226	0.08206817		
16.1499023	0.08411495	0.1514233		
18.8415527	0.13801028	0.2482487		
21.5332031	0.20771204	0.37153962		
24.2248535	0.29549894	0.5287578		
26.9165039	0.39599818	0.7183918		
29.6081543	0.50735945	0.9079626		
32.2998047	0.70772463	1.2710341		
34.9914551	0.7777667	1.3916501		
37.6831055	0.9408838	1.7984883		
40.3747559	1.044331	2.1452703		
43.0664062	1.2957017	2.4939113		
45.7580566	1.5189649	2.9872046		
48.449707	1.7924566	3.43895		
51.1413574	2.0850406	3.9384346		
53.8330078	2.5957463	4.7440825		
56.5246582	5.1715264	5.9302115		
59.2163086	4.1766024	4.8725023		
61.907959	4.8739886	5.1312594		
64.5996094	5.5781755	8.36575		
67.2912598	10.063793	12.169711		
69.9829102	16.018164	28.116282		
72.6745605	10.359686	21.877106		
75.3662109	27.460325	36.534325		
78.0578613	21.380873	26.362522		
80.7495117	30.554518	44.99359		
83.4411621	35.967678	67.32092		
86.1328125	51.35355	62.242985		
88.8244629	40.439686	60.470173		
91.5161133	42.93952	87.05143		
94.2077637	31.483856	39.610542		
96.8994141	50.0194	85.045525		
99.5910645	46.49085	49.715485		
102.2827148	93.10849	104.69548		
104.9743652	41.37624	48.27367		
107.6660156	79.3362	154.60124		
110.357666	129.35233	230.6879		
113.0493164	143.66832	223.26361		
115.7409668	126.90769	185.31883		
118.4326172	133.77885	314.15274		
121.1242676	196.19514	264.1061		
123.815918	147.326	182.30101		
126.5075684	169.39699	289.24908		
129.1992188	240.94699	325.60617		
131.8908691	162.7556	189.47441		
134.5825195	140.70282	167.66524		
137.2741699	75.44544	133.47868		
139.9658203	110.84424	172.98962		
